Question|Option1|Option2|Option3|Option4|Option5|Answer1|Answer2|Answer3|Answer4|Answer5|Notes|xNotes
《合同法》规定，撤销权自债权人知道或者应当知道撤销事由之日起（     ）内行使。|1年         |2年       |3年           |4年||1||||||
债权申报期限自人民法院发布受理破产申请公告之日起计算，最短不得少于三十日，最长不得超过（      ）。|1个月          |2个月          |3个月            |4个月||3||||||
（     ）是危害税收征管罪中唯一只能由自然人构成的罪名。|逃税罪   |抗税罪   |骗取出口退税罪    |虚开发票罪||2||||||
纳税人采取欺骗、隐瞒手段进行虚假纳税申报或者不申报逃避缴纳税款数额较大并且占应纳税额1０%以上的即构成逃税罪，《最高人民检察院、公安部关于公安机关管辖的刑事案件立案追诉标准的规定（二）》中将“数额较大” 界定为（   ）。|1万元   |3万元   |5万元   |10万元||3||||||
虚开增值税专用发票或者虚开用于骗取出口退税、抵扣税款的其他发票， 虚开的税款数额在1 万元以上或者致使国家税款被骗数额在（    ）以上的， 应予追诉。|1000元   |2000元   |3000元   |5000元||4||||||
（    ）是《刑法修正案（八）》新增的一项涉及发票的犯罪。|虚开增值税专用发票、用于骗取出口退税、抵扣税款发票罪|虚开发票罪|伪造、出售伪造的增值税专用发票罪|非法出售增值税专用发票罪||2||||||
 行政许可采取统一办理或者联合办理、集中办理的，办理的时间不得超过（    ）。|10日   |20日  |30日   |45日||4||||||
 要求听证的当事人， 应当自收到《税务行政处罚事项告知书》之日起(     )内向税务机关书面提出听证要求。|1日   |2日  |3日   |5日||3||||||
 行政机关实施查封、扣押措施， 查封、扣押的期限不得超过（   ）。|10日   |20日  |30日   |60日||3||||||
申请人可以在知道税务机关作出具体行政行为之日起(    )内提出行政复议申请。|10日   |20日  |30日   |60日||4||||||
公民、法人或者其他组织直接向人民法院提起行政诉讼的，自知道或者应当知道作出行政行为之日起(     )内提出。。|3个月   |6个月  |1年   |2年||2||||||
形成权责发生制和收付实现制不同的会计基础，进而出现应收、应付、预收、预付、折旧、摊销等会计处理方法所依据的会计基本假设是（      ）。|货币计量 |会计年度 |持续经营 |会计分期||4||||||
下列各项中，不属于会计核算方法的是（    ）。|填制和审核会计凭证 |财产清查和登记账簿 |复式记账和成本计算 |内部控制和内部规范||4||||||
会计科目按其所（  ）不同分为总分类科目和明细分类科目。|反映的会计对象|归属的会计要素|提供信息的详细程度及其统驭关系|反映的经济业务||3||||||
借贷记账法下，借方登记的内容有（     ）。|资产的增加|所有者权益的增加|收入的增加|费用的减少||1||||||
因解除与职工的劳动关系而给予的补偿，应借记（   ）账户。|“生产成本”|“制造费用”|“管理费用”|“销售费用”||3||||||
车间管理人员的工资应计入（    ）科目。|“生产成本”|“制造费用”|“其他业务成本”|“管理费用”||2||||||
下列账户中，期末余额在贷方的是（    ）|“实收资本”|“主营业务成本”|“主营业务收入”|“本年利润”||1||||||
企业确实无法偿付的应付账款，应贷记（   ）账户。|“其他业务收入”|“营业外收入”|“主营业务收入”|“资本公积”||2||||||
结转已销售产品的成本，应借记“主营业务成本”账户，贷记（    ）账户。|“制造费用”|“生产成本”|“库存商品”|“应付账款”||3||||||
计算销售商品发生的消费税时，应借记（    ）账户，贷记“应交税费——应交消费税”账户。|“税金及附加”|“应收账款”|“应交税费”|“管理费用”||1||||||
原材料已验收入库，月末尚未收到结算凭证的，入库材料按照合同价格暂估入账时，应借记“原材料”账户，贷记（     ）账户。|“在途物资”|“应付账款”|“原材料”|“银行存款”||2||||||
下列项目中，不属于财务费用核算内容的是（   ）|现金折扣|财务人员的工资薪金|利息收入|汇兑损益||2||||||
下列项目中属于会计行政法规的有（    ）|会计法|企业基本准则|企业财务报告条例|小企业会计准则||3||||||
2016年12月31日，民星企业“应付账款”贷方余额320 000，其中，应付甲企业贷方余额为200 000元，应付乙企业借方余额为180 000元，应付丙企业贷方余额为300 000元；“预付账款”贷方余额为50 000元，其中：预付丁企业借方余额为10 000元，预付戊企业贷方余额为150 000元。根据以上数据，资产负债表上“应付账款”项目的金额为（   ）元。|930 000   |650 000|370 000|470 000||2|||||明细账余额的经济内容概括如下，应付账款明细账借方余额反映预付账款，贷方余额反映应付账款；预付账款明细账借方余额反映预付账款，贷方余额反映应付账款。编制资产负债表，确定表中应付账款和预付账款项目应填列金额时，务必牢记这一点。因此，应付账款（预付账款）明细账为借方：180000+10000=190000贷方：200000+300000+150000=650000  因此，其中650000为实际的应付账款。|明细账余额的经济内容概括如下，应付账款明细账借方余额反映预付账款，贷方余额反映应付账款；预付账款明细账借方余额反映预付账款，贷方余额反映应付账款。编制资产负债表，确定表中应付账款和预付账款项目应填列金额时，务必牢记这一点。因此，应付账款（预付账款）明细账为借方：180000+10000=190000贷方：200000+300000+150000=650000  因此，其中650000为实际的应付账款。
泰欣企业是增值税一般纳税企业，适用的增值税税率是17%。该企业购入甲材料600千克，每千克不含税单价为50元，取得增值税专用发票上注明价款30 000元，增值税金额为5 100元，发生运费2 000元，取得增值税普通发票，入库前发生挑选整理费用200元。该批材料的入账价值为（   )。|30 000|32 000|32 200|30 200||3|||||物资采购成本=30000+2000+200=32200|物资采购成本=30000+2000+200=32200
Microsoft Office属于计算机软件分类中的（    ）。|操作系统|语言处理程序|通用软件|专用软件||3||||||
在资源管理器中，要选定不连续排列的文件或文件夹，按住（   ）键后，逐个单击目标文件或文件夹。|Shift|Ctrl|Alt|Enter||2||||||
Microsoft Office属于计算机软件分类中的（    ）。|操作系统|语言处理程序|通用软件|专用软件||3||||||
IE浏览器中，设置默认主页是在“Internet选项”对话框中，选择（    ）选项卡，进行相应设置。|常规|安全|内容|高级||1||||||
文档编辑中，粘帖的快捷键为（    ）。|Ctrl+C|Ctrl+V|Ctrl+X|Ctrl+Y||2||||||
在EXCEL中，不属于公式中引用运算符的是（    ）。| &| ：| ，|空格||1||||||
在Excel中，（    ）属于绝对引用。|A1:$J$8|$B52|2016!$F$22|F117||3||||||
计算机网络有多种分类方法，按计算机网络覆盖的地理范围大小进行分类，（    ）不属于这种分类：|城域网|无线网|广域网|局域网||2||||||
《中华人民共和国网络安全法》由全国人民代表大会常务委员会于（    ）发布。|2016年11月7日|2016年6月27日|2016年7月11日|2016年6月1日||1||||||
本市纳税人在本市跨区（县）提供建筑服务，《建筑工程施工许可证》为市级（或以上）住房城乡建设主管部门颁发的，应在合同签订后（   ）内，到市税务登记受理处（市税务三分局）办理纳税人报验登记和建筑业项目登记。|15日|30日|60日|180日||2||||||
本市纳税人在本市跨区（县）提供建筑服务，《建筑工程施工许可证》为区级住房城乡建设主管部门颁发或按规定无需取得建筑工程施工许可证的，应在合同签订后30日内，到（   ）办理纳税人报验登记和建筑业项目登记。|建筑服务发生地主管税务机关|市税务登记受理处（市税务三分局）|机构所在地主管税务机关|总承包纳税人主管税务机关||1||||||
按现行规定，对安置残疾人的单位和个体工商户，实行由税务机关按纳税人安置残疾人的人数，限额即征即退增值税的办法。安置的每位残疾人每月可退还的增值税具体限额，由县级以上税务机关根据纳税人所在区县（含县级市、旗）适用的经省（含自治区、直辖市、计划单列市）人民政府批准的月最低工资标准的（   ）确定。|2倍|3倍|4倍|5倍||3||||||
自2016年3月1日起，税务总局对部分增值税一般纳税人（以下简称纳税人）取消了增值税发票扫描认证，纳税人可登录本省增值税发票查询平台，查询、选择、确认用于申报抵扣或者出口退税的增值税发票信息。为进一步优化纳税服务，更好地便利纳税人，自2016年5月27日起，将纳税人确认当月用于抵扣税款或者出口退税的增值税发票信息的最后时限，由当月最后1日延长至（   ）。|次月纳税申报期结束当日|次月纳税申报期结束前1日|次月纳税申报期结束前2日|次月纳税申报期结束前3日||3||||||
依据《财政部 国家税务总局关于公益股权捐赠企业所得税政策问题的通知》（财税[2016]45号），企业向公益性社会团体实施的股权捐赠，应按规定视同转让股权，股权转让收入额以（    ）确定。|企业所捐赠股权的公允价值  |企业所捐赠股权取得时的历史成本|企业所捐赠股权的每股净资产或股权对应的净资产份额|企业所捐赠股权股权对应的净资产公允价  ||2||||||
依据《财政部 国家税务总局 发展改革委工业和信息化部关于软件和集成电路产业企业所得税优惠政策有关问题的通知》（财税[2016]49号），国家规划布局内重点集成电路设计企业除符合本通知第三条规定，还应至少符合：汇算清缴年度集成电路设计销售（营业）收入不低于2亿元（    ）。|年应纳税所得额不低于250万元，研究开发人员占月平均职工总数的比例不低于25%  |年应纳税所得额不低于1000万元，研究开发人员占月平均职工总数的比例不低于25% |年应纳税所得额不低于500万元，研究开发人员占月平均职工总数的比例不低于35%|年应纳税所得额不低于1000万元，研究开发人员占月平均职工总数的比例不低于35%  ||2||||||
依据《关于修订印发《高新技术企业认定管理工作指引》的通知》（国科发火[2016]195号），企业职工总数包括企业在职、兼职和临时聘用人员。在职人员可以通过企业是否签订了劳动合同或缴纳社会保险费来鉴别；兼职、临时聘用人员全年须在企业累计工作（     ）。|90天以上  |183天以上|270天以上|365天以上  ||2||||||
依据《关于印发《股权奖励个人所得税政策备案事项操作规程（试行）》和《转增股本个人所得税政策备案事项操作规程（试行）》的通知》（沪地税函[2016]32号），分局对备案申请进行审核，审核企业是否在发生转增股本的（    ）内申请办理分期缴纳个人所得税备案手续。|次月10日 |次月20日|次月15日|次月7日||3||||||
对实际开采年限在15年以上的衰竭期矿山开采的矿产资源，资源税减征（   ）。 |10% |20% |30% |40%||3||||||
个人保险代理人以其取得的佣金、奖励和劳务费等相关收入（以下简称“佣金收入”，不含增值税）减去地方税费附加及展业成本，按照规定计算个人所得税。展业成本，为佣金收入（    ）。|不减去地方税费附加余额的40%|不减去地方税费附加余额的60%|减去地方税费附加余额的40%|减去地方税费附加余额的60%||3||||||
高档化妆品适用税率为（    ）。|10%|15%|30%|35%||2||||||
依据《关于修订《企业政策性搬迁搬迁开始受理规程》的通知》（沪国税函[2016]96号上海市国家税务局 上海市地方税务局），办税服务厅（含网上办税服务厅）在受理后，应当告知纳税人在报送《年度财务会计报告》时，应当按照附注披露要求在报表重要项目项下披露（    ）搬迁项目信息。|“资本公积”   |“专项应付款”|“应付账款”|“长期应付款”||2||||||
依据《财政部 国家税务总局 关于完善股权激励和技术入股有关所得税政策的通知》（财税[2016]101），个人从任职受雇企业以低于公平市场价格取得股票（权）的，凡不符合递延纳税条件，应在获得股票（权）时，按照（     ）项目计算缴纳个人所得税。|“工资、薪金所得”  |“财产转让所得”|“偶然所得”|“其他所得”||1||||||
负责评定出口企业管理类别的国税机关在评定出口企业的管理类别时，应根据出口企业上一年度的管理类别，按照四类、三类、二类、一类的顺序逐级晋级，原则上不得越级评定。四类出口企业自评定之日起，（     ）内不得评定为其他管理类别。|12个月        |6个月      |3个月         |1个月||1||||||
 企业因不可抗力无法按期提供同期资料的，应当在不可抗力消除后（   ）内提供同期资料。|10日     |20日    |30日     |60日||3||||||
预约定价安排适用于主管税务机关向企业送达接收其谈签意向的《税务事项通知书》之日所属纳税年度起（      ）的关联交易。|3个年度        |5个年度       |3至5个年度    |1至3个年度||3||||||
自2016年12月1日起，“小汽车”税目下增设“超豪华小汽车”子税目。征收范围为每辆零售价格（    ）的乘用车和中轻型商用客车，即乘用车和中轻型商用客车子税目中的超豪华小汽车。|100万元（不含增值税）及以上|100万元（含增值税）及以上|130万元（不含增值税）及以上|130万元（含增值税）及以上||3||||||
2.对超豪华小汽车，在生产（进口）环节按现行税率征收消费税基础上，在零售环节加征消费税，税率为（   ）。|3%|5%|8%|10%||4||||||
依据《关于生产和装配伤残人员专门用品企业免征企业所得税的通知》（财税[2016]111号），自（      ） 期间，对符合条件的生产和装配伤残人员专门用品的企业征免企业所得税。|2017年1月1日至2020年12月31日   |2016年1月1日至2020年12月31日|2016年1月1日至2021年12月31日|2016年1月1日至2018年12月31日||2||||||
依据《关于企业所得税有关问题的公告》（国家税务总局公告2016年第80号），企业发生《国家税务总局关于企业处置资产所得税处理问题的通知》（国税函[2008]828号）第二条规定情形的，除另有规定外，应按照被移送资产的（    ）确定销售收入。|公允价值   |账面价值|购入时价格|转售价格||1||||||
依据《关于房地产开发企业土地增值税清算涉及企业所得税退税有关问题的公告》（国家税务总局公告2016年第81号），由于土地增值税清算导致亏损，房地产开发企业可以申请退还企业所得税的时间为（    ）。|某一开发项目土地增值税清算后   |所有开发项目土地增值税清算后|企业注销时|企业清算时||2||||||
依据《关于进一步做好企业研究开发费用税前加计扣除政策贯彻落实工作的通知》（税总函[2016]685号），如企业2016年度未及时申报享受加计扣除优惠政策，可在以后（    ）追溯享受。|5年内   |4年内|2年内|3年内||4||||||
依据《关于进一步做好企业研究开发费用税前加计扣除政策贯彻落实工作的通知》（税总函[2016]685号），以下说法错误的是（      ）。|各级税务机关在落实加计扣除优惠政策时，应以核实企业享受2016年度优惠的有关情况为基准，原则上不核实以前年度有关情况   |对纳税人反映的相关问题和投诉，各级税务机关应当在接到问题和投诉后的10个工作日内予以解决|如企业2016年度未及时申报享受加计扣除优惠政策，可在以后5年内追溯享受  |如企业申报享受加计扣除优惠政策，但账证不健全、资料不齐全或适用优惠政策不准确的，各级税务机关要积极做好辅导解释工作，帮助企业建账建制，补充资料，确保企业享受加计扣除优惠政策||3|||||如企业2016年度未及时申报享受加计扣除优惠政策，可在以后3年内追溯享受 |如企业2016年度未及时申报享受加计扣除优惠政策，可在以后3年内追溯享受 
一份凭证应纳税额超过（      ）元的，纳税人可以采取将税收缴款书、完税证明其中一联粘贴在凭证上或者由地方税务机关在凭证上加注完税标记代替贴花。|300        |400         |500        |800||3||||||
实行核定征收印花税的，纳税期限为（       ）。 |10天       |15天        |20天       |一个月||4||||||
自2017年1月1日起至12月31日止，对购置1.6升及以下排量的乘用车减按（      ）的税率征收车辆购置税。|3%         |5%         |7.5%       |10%||3||||||
自2018年1月1日起，对购置1.6升及以下排量的乘用车恢复按(   )的法定税率征收车辆购置税。|3%        |5%        |7.5%       |10%||4||||||
内地个人投资者通过深港通投资香港联交所上市的非H股取得的股息红利，由中国结算按照（  ）的税率代扣个人所得税。个人投资者在国外已缴纳的预提税，可持有效扣税凭证到中国结算的主管税务机关申请税收抵免。|10%；             |20%；|30%；                  |40%。||2||||||
对于香港投资者中属于其他国家税收居民且其所在国与中国签订的税收协定规定股息红利所得税率低于（  ）的，企业或个人可以自行或委托代扣代缴义务人，向上市公司主管税务机关提出享受税收协定待遇退还多缴税款的申请，主管税务机关查实后，对符合退税条件的，应按已征税款和根据税收协定税率计算的应纳税款的差额予以退税。|3%；             |5%；|10%；              |12%。||3||||||
依据《关于印发《技术入股递延纳税有关企业所得税受理事项管理规程（试行）》的通知》（沪国税函[2017]4号），各税务分局受理部门于（），受理纳税人递延纳税备案。|企业以技术入股投资完成后首次汇缴申报时|企业以技术入股投资完成后首次预缴申报时|企业以技术入股投资完成当年汇算清缴前|企业以技术入股投资完成当月||2||||||
依据《关于转发《国家税务总局关于进一步做好企业研究开发费用税前加计扣除政策贯彻落实工作的通知》的通知》（沪国税函[2017]5号），如企业2016年度未及时申报享受加计扣除优惠政策，可在以后（   ）追溯享受。|5年内|4年内|2年内|3年内||4||||||
依据《上海市国家税务局上海市地方税务局关于做好2016年度本市居民企业所得税汇算清缴工作的通知》（沪国税函[2017]15号），下列说法不正确的是（    ）。|若纳税人发生的资产（股权）划转适用特殊性税务处理的，应报送《居民企业资产（股权）划转特殊性税务处理申报表》和相关资料|企业应当自行判断其是否符合税收优惠政策规定的条件。凡享受企业所得税优惠的，应当按照76号公告规定向税务机关履行备案手续，妥善保管留存备查资料|享受研究开发费用税前加计扣除优惠政策的纳税人，应报送《研发项目可加计扣除研究开发费用情况归集表》|外省市总机构在沪分支机构无需参加企业所得税汇算清缴||4|||||外省市总机构在沪分支机构必需参加企业所得税汇算清缴|外省市总机构在沪分支机构必需参加企业所得税汇算清缴
依据依据《关于本市残疾、孤老人员和烈属继续实行劳动所得定额减征个人所得税政策的通知》（沪财发[2017]1号），下列所得中属于残疾、孤老人员和烈属可享受定额减征个人所得税的是（   ）。|偶然所得|稿酬所得|财产转让所得|财产租赁所得||2|||||残疾、孤老人员和烈属可享受定额减征个人所得税的劳动所得是指：工资薪金所得、个体工商户的生产和经营所得、对企事业单位的承包和承租经营所得、劳务报酬所得、稿酬所得、特许权使用费所得|残疾、孤老人员和烈属可享受定额减征个人所得税的劳动所得是指：工资薪金所得、个体工商户的生产和经营所得、对企事业单位的承包和承租经营所得、劳务报酬所得、稿酬所得、特许权使用费所得
依据《关于做好2016年度本市个体工商户及个人独资企业和合伙企业投资者个人所得税汇算清缴工作的通知》（沪地税函[2017]5号），个体工商户、个人独资企业和合伙企业应在（   ），向主管税务机关报送按规定填列的《个人所得税生产经营所得纳税申报表（B表）》并附2016年度会计报表。|2017年5月31日前|2017年2月29日前|2017年3月31日前|2017年4月15日前||3||||||
依据《关于开展2016年度本市年所得12万元以上个人自行纳税申报工作的通知》（沪地税函[2017]4号），各主管税务机关于（   ）前受理纳税人报送的《个人所得税纳税申报表（适用于年所得12万元以上的纳税人申报）》。|2017年5月31日前|2017年2月29日前|2017年3月31日前|2017年4月15日前||3||||||
依据《关于做好2017年度本市个人所得税全员全额扣缴明细申报工作的通知》（沪地税函[2017]8号），下列说法不正确的是（   ）。|各分局在进一步巩固、提高户管单位全员全额电子明细申报率的基础上，高度关注电子明细申报数据准确率，力争电子明细申报率与电子明细申报数据准确率均达到100%  |单位作为扣缴义务人向个人支付应税所得时，不论其是否属于本单位人员，支付的应税所得一旦达到纳税标准，扣缴义务人应当在代扣税款的次月内，向主管税务机关报送其支付应税所得个人的基本信息、支付所得项目和数额、扣缴税款数额以及其他相关涉税信息|明细申报工作是推进个人所得税税制改革的重要保障之一|各分局应结合明细申报报表或户管单位具体报送情况撰写案例分析（不少于三个）||2|||||单位作为扣缴义务人向个人支付应税所得时，不论其是否属于本单位人员、支付的应税所得是否达到纳税标准，扣缴义务人应当在代扣税款的次月内，向主管税务机关报送其支付应税所得个人的基本信息、支付所得项目和数额、扣缴税款数额以及其他相关涉税信息。|单位作为扣缴义务人向个人支付应税所得时，不论其是否属于本单位人员、支付的应税所得是否达到纳税标准，扣缴义务人应当在代扣税款的次月内，向主管税务机关报送其支付应税所得个人的基本信息、支付所得项目和数额、扣缴税款数额以及其他相关涉税信息。
依据《关于个人转让住房享受税收优惠政策判定购房时间问题的公告》（国家税务总局公告2017年第8号），个人所转让住房，因产权纠纷等原因未能及时取得房屋所有权证书（包括不动产权证书），对于人民法院、仲裁委员会出具的法律文书确认个人购买住房的，（   ），据以确定纳税人是否享受税收优惠政策。。|法律文书的签署日期视同房屋所有权证书的注明时间|法律文书的送达日期视同房屋所有权证书的注明时间|法律文书的生效日期视同房屋所有权证书的注明时间|法律文书的拟定日期视同房屋所有权证书的注明时间||3||||||
依据《关于印发《残疾、孤老人员和烈属定额减征个人所得税申报受理事项操作规程（试行）》的通知》（沪地税函[2017]18号），对有符合条件的纳税人，可在缴清年度应纳税款后的（   ）内，由主管税务机关受理纳税人的退税申请。|一个月|15日|30日|三个月||4||||||
企业在《特别纳税调查调整通知书》送达前缴纳或者送达后补缴税款的，应当自税款所属纳税年度的（   ）至缴纳或者补缴税款之日止计算加收利息。|次年6月1日起     |次年4月30日起|次年3月31日起     |次年6月30日起||1||||||
纳税人符合规定条件的，可在年度终了后的（   ）个月内向主管税务机关申请减免上一年度的城镇土地使用税。|3 |4 |5 |6||4||||||
完善国税、地税征管体制是党的（   ）提出的改革要求。|十八届五中全会|十八届三中全会|十八届四中全会|十八届二中全会||2||||||
国税、地税征管体制改革目标是到哪一年建成与国家治理体系和治理能力现代化相匹配的现代税收征管体制（   ）|2018年|2019年|2020年|2022年||3||||||
深化国税、地税征管体制改革任务之一是理顺征管职责划分，下列说法错误的是（   ）|中央税由国税部门征收，地方税由地税部门征收|共享税的征管职责根据税种属性和方便征管的原则确定|适宜由税务部门征收的行政事业性收费、政府性基金等非税收入项目，改由地税部门统一征收|国税、地税部门不可互相委托代征有关税收||4|||||国税、地税部门可互相委托代征有关税收|国税、地税部门可互相委托代征有关税收
《深化国税、地税征管体制改革方案》要求（   ）基本实现跨区域经营企业全国通办。|2016年|2017年|2018年|2020年||2||||||
深化税务稽查改革要求建立健全随机抽查制度和案源管理制度，合理确定抽查比例，对重点税源企业每（   ）年轮查一遍。|2年|3年|4年|5年||4||||||
以下不属于深度参与国际合作任务的是（   ）|积极参与国际税收规则制定|不断加强国际税收合作|发挥税收大数据服务国家治理的作用|主动服务对外开放战略||3|||||1，积极参与国际税收规则制定；2，不断加强国际税收合作；3，严厉打击国际逃避税；4，主动服务对外开放战略|1，积极参与国际税收规则制定；2，不断加强国际税收合作；3，严厉打击国际逃避税；4，主动服务对外开放战略
不断加强国际税收合作，围绕建立（   ）的新型国际税收关系，推动完善国际税收合作与协调机制。|互惠互利|协调统一|平等协同|合作共赢||4||||||
以下不属于优化税务组织体系任务的是（   ）|切实加强税务系统党的领导|优化各层级税务机关征管职责|合理配置资源。|加快税收信息系统建设||4|||||1，切实加强税务系统党的领导；2,优化各层级税务机关征管职责；3，完善税务稽查机构设置；4，完善督察内审机构设置；5，研究探索推进对外派驻税务官员；6，合理配置资源；7，加强税务干部能力建设；8，深入落实党风廉政建设主体责任和监督责任；|1，切实加强税务系统党的领导；2,优化各层级税务机关征管职责；3，完善税务稽查机构设置；4，完善督察内审机构设置；5，研究探索推进对外派驻税务官员；6，合理配置资源；7，加强税务干部能力建设；8，深入落实党风廉政建设主体责任和监督责任；
按照《深化国税、地税征管体制改革方案》，优化各层级税务机关征管职责要求市级、县级税务局重点加强以下哪项工作，以更好地为纳税人服务。（   ）|税源管理和风险应对工作|税收制度和管理制度设计|税收风险集中分析|数据集中处理应用||1||||||
《国家税务总局关于印发〈纳税人分级分类管理办法〉的通知》所称纳税人包括企业纳税人和个人纳税人。其中企业纳税人包括企业、事业单位、社会团体以及其他取得收入的组织，个人纳税人包括（   ）。|个体工商户和自然人|个体工商户|自然人|个体工商户和个人||1||||||
分类分级管理应当遵循专业分工、监督制约、（   ）、科学效能的原则。|依法征管|科学分类|风险管理|合理配置||1||||||
涉税事项分为纳税服务事项、（   ）、风险管理事项和法制事务事项。|基础管理事项|征管管理事项|发票管理事项|税源管理事项||1||||||
纳税服务事项是指《全国税务机关纳税服务规范》规定依纳税人申请由税务机关受理的涉税事项，主要包括税务登记、税务认定、发票办理、申报纳税、（   ）、证明办理、宣传咨询、权益维护等事项。|优惠办理|数据采集|税源调查|纳税担保||1||||||
