Question|Option1|Option2|Option3|Option4|Option5|Answer1|Answer2|Answer3|Answer4|Answer5|Notes|xNotes
县税务机关主要负责（   ）；协助市税务机关开展税收风险分析；负责市税务机关推送风险任务的应对工作；负责本级重点税源企业、一般税源企业、一般自然人的风险管理；负责纳税担保、税收保全、强制执行、税务行政处理和处罚工作；其他应当由县税务机关承担的事项。|纳税服务事项、基础管理事项|纳税服务事项|基础管理事项|纳税服务事项、基础管理事项、风险管理事项||1||||||
省重点税源企业的税收风险管理，以（   ）为主开展风险分析识别，省、市、县税务机关开展风险应对。|省、市税务机关|省税务机关|市税务机关|县税务机关||1||||||
无运输工具承运业务，按照（   ）缴纳增值税。|经纪代理服务|物流辅助服务|交通运输服务|商务辅助服务||3||||||
一般纳税人销售其2016年4月30日前取得（不含自建）的不动产，可以选择适用简易计税方法，以（    ）计算应纳税额。纳税人应按照上述计税方法在不动产所在地预缴税款后，向机构所在地主管税务机关进行纳税申报。|取得的全部价款和价外费用为销售额，按照5%的征收率|取得的全部价款和价外费用减去该项不动产购置原价或者取得不动产时的作价后的余额为销售额，按照5%的征收率|取得的全部价款和价外费用为销售额，按照3%的征收率|取得的全部价款和价外费用减去该项不动产购置原价或者取得不动产时的作价后的余额为销售额，按照3%的征收率||2||||||
个人出租住房，（   ）计算应纳税额。|应按照3%的征收率减按1.5%|应按照3%的征收率减按2%|应按照5%的征收率减按1.5%|应按照5%的征收率减按3%||3||||||
一般纳税人支付的道路、桥、闸通行费，暂凭取得的通行费发票（不含财政票据）上注明的收费金额，计算抵扣的进项税额。下列说法正确的是（   ）。| 高速公路通行费可抵扣进项税额=高速公路通行费发票上注明的金额÷（1+5%）×3%| 高速公路通行费可抵扣进项税额=高速公路通行费发票上注明的金额÷（1+3%）×3%| 高速公路通行费可抵扣进项税额=高速公路通行费发票上注明的金额÷（1+5%）×5%| 高速公路通行费可抵扣进项税额=高速公路通行费发票上注明的金额÷（1+3%）×1.5%||2||||||
 增值税一般纳税人购进（   ）的进项税额可以从销项税额中抵扣。|贷款服务|人力资源服务|居民日常服务|娱乐服务||2|||||购进的旅客运输服务、贷款服务、餐饮服务、居民日常服务和娱乐服务进项税额不得从销项税额中抵扣|购进的旅客运输服务、贷款服务、餐饮服务、居民日常服务和娱乐服务进项税额不得从销项税额中抵扣
以下不属于不动产经营租赁服务的是（    ）。|宾馆提供会议场地及配套服务   |车辆停放服务 |将土地出租给他人使用|道路通行服务||1|||||宾馆、旅馆、旅社、度假村和其他经营性住宿场所提供会议场地及配套服务的活动，按照“会议展览服务”缴纳增值税|宾馆、旅馆、旅社、度假村和其他经营性住宿场所提供会议场地及配套服务的活动，按照“会议展览服务”缴纳增值税
境内单位向境外单位提供的完全在境外消费的下列服务，免征增值税的是（   ）。|研发服务|合同能源管理服务|电信服务|广播影视节目（作品）的制作和发行服务||3|||||研发服务、合同能源管理服务、广播影视节目（作品）的制作和发行服务位零税率|研发服务、合同能源管理服务、广播影视节目（作品）的制作和发行服务位零税率
金融服务，是指经营金融保险的业务活动。不包括（   ）。|金融经纪业|直接收费金融服务|保险服务|金融商品转让||1|||||包括贷款服务、直接收费金融服务、保险服务和金融商品转让|包括贷款服务、直接收费金融服务、保险服务和金融商品转让
经纪代理服务，不包括（    ）。--书中未找到|房地产中介|货物运输代理 |人力资源服务|拍卖||3|||||人力资源外包服务|人力资源外包服务
纳税人跨区（县）提供建筑服务，应向建筑服务发生地主管税务机关预缴税款。纳税人应按照建筑服务项目区分简易计税和一般计税方法，按项目单独计算应预缴税额，分别预缴。适用一般计税方法计税的，应预缴税款为（    ）。--书中未找到|全部价款和价外费用÷（1＋11%）×2%|（全部价款和价外费用－支付的分包款） ÷（1＋11%）×2%|全部价款和价外费用÷（1＋3%）×3%|（全部价款和价外费用－支付的分包款） ÷（1＋3%）×3%||2||||||
纳税人（不含个体工商户转让购买的住房）转让自建不动产应预缴增值税的，应预缴税款为（   ）。|（全部价款和价外费用－不动产建造成本）÷（1＋5%）×5%|（全部价款和价外费用－不动产建造成本）÷（1＋3%）×3%|全部价款和价外费用÷（1＋3%）×3%|全部价款和价外费用÷（1＋5%）×5%||4||||||
自2016年8月19日起，提供物业管理服务的纳税人，向服务接受方收取的自来水水费，（    ）计算缴纳增值税。|以不扣除其对外支付的自来水水费后的全额为销售额，按照简易计税方法依3%的征收率|以不扣除其对外支付的自来水水费后的全额为销售额，按照简易计税方法依6%的征收率|以扣除其对外支付的自来水水费后的余额为销售额，按照简易计税方法依3%的征收率|以扣除其对外支付的自来水水费后的余额为销售额，按照简易计税方法依6%的征收率||3||||||
纳税人以长（短）租形式出租酒店式公寓并提供配套服务的，按照（    ）缴纳增值税。|餐饮服务|不动产租赁|住宿服务|居民日常服务||3||||||
自2016年12月1日起，纳税信用A级的纳税人可一次领取不超过（    ）的增值税发票用量。|1个月|2个月|3个月|4个月||3||||||
自2016年12月1日起，取消增值税发票认证的纳税人范围扩大到纳税信用（    ）的增值税一般纳税人。|A级|B级|C级|D级||3||||||
提供餐饮服务的纳税人销售的外卖食品，按照（   ）缴纳增值税。|餐饮服务|销售货物|住宿服务|居民日常服务||1||||||
宾馆、旅馆、旅社、度假村和其他经营性住宿场所提供会议场地及配套服务的活动，按照（   ）缴纳增值税。|住宿服务|不动产经营性租赁服务|会议展览服务|商务辅助服务||3||||||
纳税人提供武装守护押运服务，按照（    ）缴纳增值税。|交通运输服务|安全保护服务|居民日常服务|金融保险服务||2||||||
下列关于小规模纳税人提供劳务派遣服务税务处理不正确的是（      ）。|以取得的全部价款和价外费用为销售额，按照简易计税方法依3%的征收率计算缴纳增值税|也可以选择差额纳税，以取得的全部价款和价外费用，扣除代用工单位支付给劳务派遣员工的工资、福利和为其办理社会保险及住房公积金后的余额为销售额，按照简易计税方法依5%的征收率计算缴纳增值税|也可以选择差额纳税，以取得的全部价款和价外费用，扣除代用工单位支付给劳务派遣员工的工资、福利和为其办理社会保险及住房公积金后的余额为销售额，按照简易计税方法依3%的征收率计算缴纳增值税|选择差额纳税的纳税人，向用工单位收取用于支付给劳务派遣员工工资、福利和为其办理社会保险及住房公积金的费用，不得开具增值税专用发票，可以开具普通发票||3|||||也可以选择差额纳税，以取得的全部价款和价外费用，扣除代用工单位支付给劳务派遣员工的工资、福利和为其办理社会保险及住房公积金后的余额为销售额，按照简易计税方法依5%的征收率计算缴纳增值税|也可以选择差额纳税，以取得的全部价款和价外费用，扣除代用工单位支付给劳务派遣员工的工资、福利和为其办理社会保险及住房公积金后的余额为销售额，按照简易计税方法依5%的征收率计算缴纳增值税
下列情形中属于视同销售应当征收增值税的是（     ）。|为了抗震救灾，某企业向灾区捐了价值2万元的生活物资品|某律师事务所组织多名律师在市中心广场为群众义务提供法律咨询服务|企业将购进的酒发给职工作为福利|某游戏开发公司将最新开发的一款网游版权无偿转让给其关联企业||4|||||单位或者个人向其他单位或者个人无偿转让无形资产或者不动产属于视同销售应当征收增值税，但用于公益事业或者以社会公众为对象的除外|单位或者个人向其他单位或者个人无偿转让无形资产或者不动产属于视同销售应当征收增值税，但用于公益事业或者以社会公众为对象的除外
下列增值税纳税申报资料中，不属于营改增全面扩围后新增加的是（     ）。|不动产分期抵扣计算表|本期抵扣进项税额结构明细表|增值税减免税申报明细表|增值税预缴税款表||3||||||
纳税人转让不动产，未按规定向不动产所在地地税机关预缴税款且自应当预缴之月起超过6个月没有预缴的，由（   ）处理。|不动产所在地主管地税机关|不动产所在地主管国税机关|机构所在地主管地税机关|机构所在地主管国税机关||4||||||
下列情形中，符合相关规定的是（     ）。|试点纳税人甲取得增值税一般纳税人资格后，发生增值税偷税、骗取出口退税和虚开增值税扣税凭证等行为，主管税务机关取消其一般纳税人资格|主管税务机关检查发现试点一般纳税人乙会计核算不健全，决定取消其一般纳税人资格|试点一般纳税人丙因注销税务登记被取消一般纳税人资格|试点一般纳税人丁2015年应税服务销售额未达到500万元，被转为小规模纳税人||3|||||1，试点纳税人在办理增值税一般纳税人资格登记后，发生增值税偷税、骗取出口退税和虚开增值税扣税凭证等行为的，主管国税机关可以对其实行6个月的纳税辅导期管理；2，一般纳税人会计核算不健全，或者不能够提供准确税务资料的应当按照销售额和增值税税率计算应纳税额，不得抵扣进项税额，也不得使用增值税专用发票|1，试点纳税人在办理增值税一般纳税人资格登记后，发生增值税偷税、骗取出口退税和虚开增值税扣税凭证等行为的，主管国税机关可以对其实行6个月的纳税辅导期管理；2，一般纳税人会计核算不健全，或者不能够提供准确税务资料的应当按照销售额和增值税税率计算应纳税额，不得抵扣进项税额，也不得使用增值税专用发票
下列应税行为进行增值税预缴税款时，不需要填写《增值税预缴税款表》的是（    ）。   |单位和个体工商户出租不动产|单位和个体工商户转让不动产|纳税人跨县（市、区）提供建筑服务|房地产开发企业销售房地产项目||2|||||纳税人跨县（市）提供建筑服务、房地产开发企业预售自行开发的房地产项目、纳税人出租与机构所在地不在同一县（市）的不动产，按规定需要在项目所在地或不动产所在地主管国税机关预缴税款的，需填写《增值税预缴税款表》|纳税人跨县（市）提供建筑服务、房地产开发企业预售自行开发的房地产项目、纳税人出租与机构所在地不在同一县（市）的不动产，按规定需要在项目所在地或不动产所在地主管国税机关预缴税款的，需填写《增值税预缴税款表》
对于不动产进项税额分期抵扣，在纳税人注销税务登记时，其尚未抵扣完毕的待抵扣进项税额（    ）。———未找到|不能抵扣|于注销清算的当期从销项税额中抵扣|于注销清算的下月从销项税额中抵扣|于注销前从销项税额中抵扣||2||||||
金税三期工程正式启动的时间是：（   ）———未找到|2005年 |2008年 |2007年 |2010年||2||||||
2005年开始，为实现(     )，实施金税三期工程建设。———未找到且矛盾|“业务一体化、技术一体化、系统一体化”|“业务一体化、技术一体化、信息一体化”|“业务一体化、系统一体化、信息一体化”|“技术一体化、信息一体化、系统一体化”||1||||||
下面哪一项不属于金税三期工程新建系统：（    ）|决策支持1包|决策支持2包|纳税服务|出口退税审核系统||4||||||
金税三期中的决策支持系统：（    ）——未找到|以税收业务为主要处理对象|以信息交换为主要处理对象|面向各级税务机关税收经济分析、监控和预测|以税务内部行政管理事务为处理对象||3||||||
以下哪一项不属于补偿业务：（    ）——未找到|发票代开|文书作废|申报表更正|文书删除||1||||||
建立税收档案中的“自然人”不包括：（     ）|个体工商户业主|个体工商户|法人代表|合伙企业投资者||2||||||
下面哪一项属于风险处理：（    ）——未找到|稽查|发票|优惠|征收||1||||||
下面哪一项属于纳税人管理：（    ）|评估审计|稽查|法制|认定||4||||||
对个人所得税完税证明信息，核心征管能够在年度终了（   ）个月内，按照每一个纳税人上年实际缴纳的个人所得税额自动生成，再通过纳税服务平台推送给纳税人。|1|2|3|5||3||||||
全国征管数据应用大集中模式为：（    ）|总局为主、省级为辅|省局为主、总级为辅|省局为主、市局为辅|市局为主、省局为辅||1||||||
下列哪一项不是管理决策创新内容：（    ）|绩效管理|知识管理|政策评估|会计核算||4|||||管理决策创新内容包括绩效管理、知识管理和政策评估|管理决策创新内容包括绩效管理、知识管理和政策评估
金税三期工程确定了“一个平台、两级处理、三个覆盖、四类系统”的工作目标，其中，下列哪一项不属于“三个覆盖”：（    ）|覆盖所有税种|覆盖税务管理的重要工作环节|覆盖所有有关部门|覆盖各级国、地税机关||3|||||应用内容逐步覆盖所有税种，覆盖税收工作的主要工作环节，覆盖各级国地税机关，并与有关部门联网|应用内容逐步覆盖所有税种，覆盖税收工作的主要工作环节，覆盖各级国地税机关，并与有关部门联网
国家税务总局决定，2017年继续开展“春风行动”，努力打造税务系统优质服务品牌，关于2017年春风行动的主题，下列表述正确的是（   ）。|改革?合作|提升?创响|高效?便捷|提速?规范  ||2||||||
2017年开展“春风行动”的总体目标是全面贯彻党的十八大和十八届三中、四中、五中、六中全会精神，深入贯彻落实《改革方案》，以“提升?创响”为主题，持续提速减负、创新服务、精准发力、公正执法、合力共赢，打造（    ），提升纳税人获得感、满意度、遵从度，创响具有鲜明税务特色的纳税服务品牌。--与书不符|智慧税务|效率税务|便捷税务|公正税务||1|||||全面贯彻党的十八大和十八届三中、四中、五中、六中全会精神，深入贯彻落实《改革方案》，以“提升•创响”为主题，以纳税人为中心，以需求为导向，以机制建设为抓手，以“互联网+税务”为助力，持续提速减负、创新服务、精准发力、公正执法、合力共赢，打造效能税务、智慧税务、便民税务、公平税务、协作税务，提升纳税人获得感、满意度、遵从度，创响具有鲜明税务特色的纳税服务品牌。|
2017年开展“春风行动”,要把握“长流水、不断线、打连发、呈递进”的工作节奏，紧扣全国纳税人满意度调查发现的问题，推进办税制度改革，创响纳税服务品牌，总体设计、分步推进，共推出（    ）便民措施。|5类20项46条|5类22项45条|6类20项46条|6类22项45条||1||||||
2017年继续开展“春风行动”，持续提速减负、创新服务、精准发力、公正执法、合力共赢，提升（    ），创响具有鲜明税务特色的纳税服务品牌。|税务机关的公平性、公正性、合理性|税务机关的高效、便捷、合理|纳税人幸福感、满意度、遵从度|纳税人获得感、满意度、遵从度||4||||||
2017年开展“春风行动”的行动内容中，关于减少办税等候时间的措施，以下表述错误的是（    ）|推进网上办税为主、自助和其他社会办税为辅、网上办税服务厅兜底的办税模式，让纳税人多走“网路”、少走“马路”。|通过移动互联网为纳税人实时提供办税服务厅等候人数、已办理人数等排队信息，方便纳税人合理选择办税地点，提高办税效率。|针对办税“波峰”“波谷”情况，在办税“波峰”期大力推行预约办税，提供网上、掌上等多渠道预约服务，减少办税服务厅排队等候时间。|优化房地产交易税收服务，落实房地产交易税收服务和管理指引要求，推进部门信息共享，减少信息重复录入及复核时间，探索由纳税人通过互联网、手机客户端或自助办税终端提前录入申报所需税源信息，探索实行同城通办或房地产管理部门、不动产登记部门与税务部门业务联办，为纳税人提供更加便捷的服务。||1|||||推进网上办税为主、自助和其他社会办税为辅、实体办税服务厅兜底的办税模式，让纳税人多走“网路”、少走“马路”（2017年9月底前实施）|推进网上办税为主、自助和其他社会办税为辅、实体办税服务厅兜底的办税模式，让纳税人多走“网路”、少走“马路”（2017年9月底前实施）
2017年开展“春风行动”的行动内容中，关于简并涉税资料报送的措施，以下表述错误的是（    ）|简化发票代开业务资料报送|简化所有行业资产损失资料报送要求|简化国际运输服务免征增值税的备案资料|简化非居民企业源泉扣缴信息申报，为纳税人和基层税务机关减轻负担。||2|||||简并涉税资料报送：简化发票代开业务资料报送（2016年11月实施），简化银行业资产损失资料报送要求（2017年启动），简化工程项目在境外的建筑服务证明材料，简化国际运输服务免征增值税的备案资料，简化在境外提供旅游服务的证明材料（2017年1月实施），简化非居民企业源泉扣缴信息申报，为纳税人和基层税务机关减轻负担（2017年启动）|简并涉税资料报送：简化发票代开业务资料报送（2016年11月实施），简化银行业资产损失资料报送要求（2017年启动），简化工程项目在境外的建筑服务证明材料，简化国际运输服务免征增值税的备案资料，简化在境外提供旅游服务的证明材料（2017年1月实施），简化非居民企业源泉扣缴信息申报，为纳税人和基层税务机关减轻负担（2017年启动）
2017年开展“春风行动”的行动内容中，关于创新服务，积聚智慧税务的措施，以下表述错误的是（    ）|升级改造税务总局12366纳税服务平台，实现热线、网线、无线互联互通，支持对全国纳税人开展咨询、宣传、权益保护、信用管理等服务，同时统一整合办税服务入口，通过与纳税人的多元化互动提升纳税人办税体验。|扩大小规模纳税人自开专用发票试点行业范围。|推进发票无纸化试点工作，推动电子发票在电子商务等领域的使用，逐步实现纸质发票到电子发票的变革。|探索推进跨区（县）从事生产经营纳税人的网上开具《外管证》，逐步实现《外管证》开具、信息传递和后续管理的电子化。||4|||||探索推进跨省从事生产经营纳税人的网上开具《外管证》，逐步实现《外管证》开具、信息传递和后续管理的电子化（2017年底前启动）。|探索推进跨省从事生产经营纳税人的网上开具《外管证》，逐步实现《外管证》开具、信息传递和后续管理的电子化（2017年底前启动）。
2017年开展“春风行动”的行动内容中，关于优化发票领用方式的措施，以下表述错误的是（    ）|提供发票网上、掌上申请服务。|提供物流配送或窗口及自助终端自取纸质发票服务。|扩大小规模纳税人自开专用发票试点行业范围。|实现发票领用“线上申领、线下配送”。||3|||||“扩大小规模纳税人自开专用发票试点行业范围”是拓展发票开具方式的措施|“扩大小规模纳税人自开专用发票试点行业范围”是拓展发票开具方式的措施
2017年开展“春风行动”的行动内容中，关于拓展发票开具方式的措施，以下表述错误的是（   ）|提供增值税发票代开网上、掌上预申请功能，纳税人通过网上办税平台、手机APP等渠道代开发票，税费一体化征收，选择物流配送或窗口及自助终端自取纸质发票服务。|实现发票代开“线上办理、线下开具”。|扩大小规模纳税人自开专用发票试点地区范围。|推进发票无纸化试点工作，推动电子发票在电子商务等领域的使用，逐步实现纸质发票到电子发票的变革。||3|||||扩大小规模纳税人自开专用发票试点行业范围|扩大小规模纳税人自开专用发票试点行业范围
2017年开展“春风行动”的行动内容中，关于精准发力，唱响便民税务的措施，以下表述错误的是（   ）。|针对实名办税纳税人开展个性化服务，减少资料重复报送，加强内部风险管控和外部结果推送，完善“登记、办税、服务、管理”全过程实名制。|探索推行信用管税办税制度，健全和完善纳税服务基础管理制度。|推进12366接受违法举报工作，建立涉税重大违法行为“快捷处理通道”。|进一步拓展同城通办和全省通办的业务范围，在全省通办的基础上提升业务通办的层级。||3|||||推进12366接受违法举报工作，建立涉税轻微违法行为“快捷处理通道”|推进12366接受违法举报工作，建立涉税轻微违法行为“快捷处理通道”
2017年开展“春风行动”的行动内容中，为了拓展热线服务功能，要充分利用互联网、（    ）等新兴媒介，为纳税人提供多元化、全方位的咨询辅导服务。|移动终端、服务平台|移动终端、中介平台|移动终端、第三方平台|移动终端、征管平台||3||||||
2017年开展“春风行动”的行动内容中，关于精准发力，唱响便民税务的措施，以下表述正确的是（   ）。|加大实名办税推行力度，线上线下采集纳税人及其代理人身份等信息，强化与业务系统无缝对接。|加强整体协调和业务统筹，促进分税种、分业务设置服务事项办税模式的转变，推动关联度低的业务事项归并整合。|推进12366接受违法举报工作，建立涉税重大违法行为“快捷处理通道”。|进一步拓展同城通办和全国通办的业务范围，在全省通办的基础上提升业务通办的层级。||1|||||2，“关联度高”；3，“轻微违法”；4，“全省通办”|2，“关联度高”；3，“轻微违法”；4，“全省通办”
2017年开展“春风行动”的行动内容中，关于公正执法，营造公平税务的措施，以下表述错误的是（   ）。|积极推行《全国税务稽查规范（1.0版）》，健全税务检查、处罚告知、处罚听证、集体审议、作出决定、文书送达等制度规定。|严格实施重大税务案件审理办法。|建立和实施税务行政执法案例指导制度。|探索推行信用管税办税制度，健全和完善纳税服务基础管理制度。||4|||||持续扩大纳税信用评价覆盖面，探索开展对个体工商户和其他类型纳税人的纳税信用评价。|持续扩大纳税信用评价覆盖面，探索开展对个体工商户和其他类型纳税人的纳税信用评价。
2017年开展“春风行动”的行动内容中，关于公正执法，营造公平税务的措施，以下表述错误的是（    ）。|严格实施重大税务案件审理办法。|完善商事登记制度改革后的税收征管配套措施，做好个体工商户“两证整合”改革后续管理工作，加强改革效应分析，积极开展后续事中事后监管。|建立健全“双随机、双公开”监管机制，全面推进税务稽查随机抽查，体现执法公平，提高执法效能。|持续扩大纳税信用评价覆盖面，探索开展对个体工商户和其他类型纳税人的纳税信用评价。||3|||||积极推行《全国税务稽查规范（1.0版）》，健全税务检查、处罚告知、处罚听证、集体审议、作出决定、文书送达等制度规定。|积极推行《全国税务稽查规范（1.0版）》，健全税务检查、处罚告知、处罚听证、集体审议、作出决定、文书送达等制度规定。
2017年开展“春风行动”的行动内容中，为了公正执法，营造公平税务，要完善税收执法程序。积极推行（    ），健全税务检查、处罚告知、处罚听证、集体审议、作出决定、文书送达等制度规定。|《税收征收管理制度》|《全国税务稽查规范（1.0版）》|《全国税务机关征税管理规范》|《全国税务机关纳税服务规范》||2||||||
2017年开展“春风行动”的行动内容中，关于合力共赢，构建协作税务的措施，以下表述错误的是（    ）。|加强POS机、网上银行、手机银行等多元化缴税方式技术支撑。|试点非居民企业网上代扣代缴非居民企业所得税。|深化国税地税联合办税，联合开展遵从合作、风险提示等大企业纳税服务工作。|结合“走出去”纳税人需求，继续落实和完善服务“一带一路”战略的各项税收举措。||2|||||试点居民企业网上代扣代缴非居民企业所得税(2017年底前实施)|试点居民企业网上代扣代缴非居民企业所得税(2017年底前实施)
2017年开展“春风行动”的行动内容中，为了服务国家发展战略，以下（     ）措施要求必须在2017年9月底前实施：|结合“走出去”纳税人需求，继续落实和完善服务“一带一路”战略的各项税收举措。|不断优化完善“京津冀综合税务服务网”功能，巩固税收服务京津冀协同发展成果。|深化长江经济带税收信息共享平台数据应用，探索创新税收征管服务举措2017年底前实施。|创新自由贸易试验区发展的服务措施。||4||||||
2017年开展“春风行动”的行动内容中，为了服务国家发展战略，要全面整合国家税务局、地方税务局服务资源，推广办税服务厅（    ）国税地税联合办税服务模式，实现涉税业务一窗办理。|“一窗专人” |“一窗一人”|“专窗一人”|“专窗专人”||2||||||
2017年开展“春风行动”的行动内容中，为了扩大区域通办范围，要进一步拓展同城通办和全省通办的业务范围，在（     ）的基础上提升业务通办的层级。|全国通办|全省通办|跨省通办|全区通办||2||||||
2017年开展“春风行动”的行动内容中，要求必须在2017年一季度前实施的合力共赢，构建协作税务的措施包括（   ）。|加强POS机、网上银行、手机银行等多元化缴税方式技术支撑。|充分利用银行、社区、街道等网格化网点，在银行自助服务区和街道办事处等地配置24小时自助办税服务设备，延伸24小时自助办税服务。|深化国税地税联合办税，联合开展遵从合作、风险提示等大企业纳税服务工作。|结合“走出去”纳税人需求，继续落实和完善服务“一带一路”战略的各项税收举措。||3|||||联合开展遵从合作、风险提示等大企业纳税服务工作(2017年3月初启动)|联合开展遵从合作、风险提示等大企业纳税服务工作(2017年3月初启动)
《国家税务局 地方税务局合作工作规范（3.0版）》一共包括（   ）个合作事项。|44|51|13|57||2||||||
在国地税联合联合办理设立登记时，纳税人报送资料齐全、符合法定形式的，受理登记申请的税务机关当场发放盖有（    ）印章的税务登记证件。|国税|地税|国地税双方|受理登记方||3||||||
国地税双方联合开展税收分析，（   ）向当地政府上报1次税收分析报告。省国家税务局、地方税务局应同时联合向税务总局上报税收分析报告。|每半年（有条件的地方每季度）|每年|每季度|每月||1||||||
从利用共享信息开展风险识别角度，税务机关可以比对国税、地税定额信息与（     ），识别定额偏低漏征风险。|从第三方获取的水、电、气等耗用信息|从第三方获取的股权转让信息|社会保险费申报征收信息|房产税、城镇土地使用税、车船税缴纳信息||1||||||
《国家税务局 地方税务局合作工作规范（3.0版）》中明确，共享双方内部涉税信息包括数据交换和（    ）两种方式。|软件共享|信息交互|平台共建|网络互通||2||||||
根据国地税合作工作规范，暂不具备条件建设电子税务局的，省国家税务局、地方税务局应（    ），实现联合网上办税。|统一网上办税平台入口|加强信息共享|明确联合网上办税的业务流程|明确数据接口标准||1||||||
国地税合作规范要求国地税部门协同实施房地产开发企业税收一体化管理，规定国税局、地税局要联合建立房地产开发企业（    ），共享相关涉税信息，加强房地产开发企业税收管理。|信息共享制度|项目登记制度|协同检查制度|协同管理制度||2||||||
国地税合作工作规范要求国地税部门共用基层服务资源，规定国税局、地税局在一方有服务需求但未设立办税服务场所的地区，或者在双方均有办税服务场所，但一方办税服务场所紧张，另一方相对富余的地区，经双方协商一致，可（    ）。|利用对方办税场所开展纳税服务工作|采用“互相进驻”方式联合办税|采用“互联互通”方式联合办税|采用“共同进驻”政府服务中心或其他政务部门方式联合办税||1||||||
国地税合作工作规范要求国地税部门联合与纳税人签订委托划缴税款协议，规定国税局、地税局可由（    ）代表双方与纳税人签订委托划缴税款协议，避免双方签订协议带来的纳税人“两头跑”问题。|国税局|地税局|由任一方|国地税双方||3||||||
国地税合作工作规范要求国地税部门协同管理建筑服务企业外出经营税收，规定国税局要通过（     ）、委托代征或共享信息等方式，协助地税局加强外出经营建筑服务企业的税收管理，优化服务，防范风险。|联合检查|联合办税|联合执法|联合管理||2||||||
协同实施企业所得税优惠事项备案管理，规定国税局、地税局要统一确定优惠事项备案资料，实现（    ）经营企业所得税优惠事项备案协同管理，解决备案资料不一致问题。|跨省际|同一市、县|市内跨县|省内跨区域||4||||||
国地税合作工作规范要求国地税部门联合办理变更登记。变更登记涉及税务登记证件内容变化的，由（    ）收缴并核销原税务登记证件，重新发放盖有双方印章并标注同一纳税人识别号的税务登记证件。|受理方税务机关|原发证方税务机关|国地税任意一方|国税局||1||||||
国地税合作工作规范要求国地税部门合作征收税款，规定地方税务局代国家税务局征收纳税人销售其取得的不动产和其他个人出租不动产（     ）。|个人所得税、企业所得税|增值税|印花税|契税||2||||||
