Question|Option1|Option2|Option3|Option4|Option5|Answer1|Answer2|Answer3|Answer4|Answer5|Notes|Notes
依据《关于印发《残疾、孤老人员和烈属定额减征个人所得税申报受理事项操作规程（试行）》的通知》（沪地税函[2017]18号），下列说法正确的有（   ）。|全年应纳个人所得税税额超过规定减征定额，超过部分予以退还|全年应纳个人所得税税额超过规定减征定额，但实际减征税款不足减征定额的，其未享受足的定额减征税款部分予以退还|全年应纳个人所得税税额不足规定减征定额，不足部分予以退还|全年应纳个人所得税税额不足规定减征定额，其实际已缴的税款予以退还|在纳税人缴清年度应纳税款后的三个月内，由主管税务机关受理纳税人的退税申请|2|4|5|||公共知识P346：对有下列情形的纳税人，可在缴清年度应纳税款后的三个月内，由主管税务机关受理纳税人的退税申请：　　1. 全年应纳个人所得税税额超过规定减征定额，但实际减征税款不足减征定额的，其未享受足的定额减征税款部分予以退还；　　2. 全年应纳个人所得税税额不足规定减征定额，其实际已缴的税款予以退还。|公共知识P346：对有下列情形的纳税人，可在缴清年度应纳税款后的三个月内，由主管税务机关受理纳税人的退税申请：　　1. 全年应纳个人所得税税额超过规定减征定额，但实际减征税款不足减征定额的，其未享受足的定额减征税款部分予以退还；　　2. 全年应纳个人所得税税额不足规定减征定额，其实际已缴的税款予以退还。
有下列情形（    ）之一的，可向主管税务机关提出城镇土地使用税困难减免申请。|资产不足清偿全部或者到期债务且已依法进入破产程序，其土地闲置不用的|因歇业、改制等原因（除依法被吊销营业执照、责令关闭或者被撤销外）按规定已进入清算程序，其土地闲置不用的|因受自然灾害影响无法维持正常经营活动，发生亏损的|执行政府定价、承担公益职能，发生亏损的|经认定的高新技术企业，发生亏损的|1|2|3|4||公共知识P355：有下列情形之一的，可向主管税务机关提出城镇土地使用税困难减免申请：　　（一）资产不足清偿全部或者到期债务且已依法进入破产程序，其土地闲置不用的；（二）因歇业、改制等原因（除依法被吊销营业执照、责令关闭或者被撤销外）按规定已进入清算程序，其土地闲置不用的；（三）因受自然灾害影响无法维持正常经营活动，发生亏损的；（四）执行政府定价、承担公益职能，发生亏损的；（五）经认定的非营利组织，发生亏损的；（六）经认定的符合本市产业发展方向的中小企业，发生亏损的。|公共知识P355：有下列情形之一的，可向主管税务机关提出城镇土地使用税困难减免申请：　　（一）资产不足清偿全部或者到期债务且已依法进入破产程序，其土地闲置不用的；（二）因歇业、改制等原因（除依法被吊销营业执照、责令关闭或者被撤销外）按规定已进入清算程序，其土地闲置不用的；（三）因受自然灾害影响无法维持正常经营活动，发生亏损的；（四）执行政府定价、承担公益职能，发生亏损的；（五）经认定的非营利组织，发生亏损的；（六）经认定的符合本市产业发展方向的中小企业，发生亏损的。
国税、地税征管体制改革要求发挥国税、地税各自优势，推动 “三合”，具体是指（    ）|服务深度融合|执法适度整合|信息高度聚合|机构适度整合|人员适度整合|1|2|3|||专业技能P73：2017年是深化征管体制改革的关键之年，各级税务机关要从“两个减负”的角度出发，继续抓好各项改革任务的落实，实现服务深度融合、执法适度整合、信息高度聚合。|专业技能P73：2017年是深化征管体制改革的关键之年，各级税务机关要从“两个减负”的角度出发，继续抓好各项改革任务的落实，实现服务深度融合、执法适度整合、信息高度聚合。
国税、地税征管体制改革的基本原则有（     ）|依法治税|便民办税|科学效能|协同共治|合作共赢|1|2|3|4||专业技能P11：国税、地税征管体制改革的基本原则有依法治税、便民办税、科学效能、协同共治、有序推进。|专业技能P11：国税、地税征管体制改革的基本原则有依法治税、便民办税、科学效能、协同共治、有序推进。
深化国税、地税征管体制改革任务之一是创新纳税服务机制，主要包括（    ）|推行税收规范化建设|推进办税便利化改革|建立服务合作常态化机制|建立促进诚信纳税机制|主动服务对外开放战略|1|2|3|4||专业技能P12：深化国税、地税征管体制改革任务之一是创新专业技能机制，主要包括：推行税收规范化建设，推进办税便利化改革，建立服务合作常态化机制，建立促进诚信纳税机制，健全专业技能投诉机制。|专业技能P12：深化国税、地税征管体制改革任务之一是创新专业技能机制，主要包括：推行税收规范化建设，推进办税便利化改革，建立服务合作常态化机制，建立促进诚信纳税机制，健全专业技能投诉机制。
深化国税、地税征管体制改革任务之一是转变征收管理方式，主要包括（    ）|优化各层级税务机关征管职责|对纳税人实施分类分级管理|提升大企业税收管理层级|建立自然人税收管理体系|深化税务稽查改革|2|3|4|5||专业技能P13：深化国税、地税征管体制改革任务之一是转变征收管理方式，主要包括：切实加强事中事后管理，对纳税人实施分类分级管理，提升大企业税收管理层级，建立自然人税收管理体系，深化税务稽查改革，全面推行电子发票，加快税收信息系统建设，发挥税收大数据服务国家治理的作用。|专业技能P13：深化国税、地税征管体制改革任务之一是转变征收管理方式，主要包括：切实加强事中事后管理，对纳税人实施分类分级管理，提升大企业税收管理层级，建立自然人税收管理体系，深化税务稽查改革，全面推行电子发票，加快税收信息系统建设，发挥税收大数据服务国家治理的作用。
《深化国税、地税征管体制改革方案》要求建立健全党政领导、（    ）的税收共治格局，着力解决税收环境不够优、全社会诚信纳税意识不够强等问题。|税务主责|各自分工|部门合作|公众参与|社会协同|1|3|4|5||专业技能P15：《深化国税、地税征管体制改革方案》要求建立健全党政领导、税务主责、部门合作、社会协同、公众参与的税收共治格局，着力解决税收环境不够优、全社会诚信纳税意识不够强等问题。|专业技能P15：《深化国税、地税征管体制改革方案》要求建立健全党政领导、税务主责、部门合作、社会协同、公众参与的税收共治格局，着力解决税收环境不够优、全社会诚信纳税意识不够强等问题。
深化国税、地税征管体制改革任务之一是构建税收共治格局，主要包括（    ）|推进涉税信息共享|拓展跨部门税收合作|健全税收司法保障机制|加强税法普及教育|完善督察内审机构设置|1|2|3|4||专业技能P15：深化国税、地税征管体制改革任务之一是构建税收共治格局，主要包括：推进涉税信息共享，拓展跨部门税收合作，健全税收司法保障机制，加强税法普及教育。|专业技能P15：深化国税、地税征管体制改革任务之一是构建税收共治格局，主要包括：推进涉税信息共享，拓展跨部门税收合作，健全税收司法保障机制，加强税法普及教育。
自然人按照收入和资产分为（    ）。|高收入|高净值自然人|一般自然人|一般个人|高收入自然人|2|3|5|||勘误：原答案为ABC，现改为BCE。专业技能P17：自然人按照收入和资产分为高收入、高净值自然人和一般自然人。|勘误：原答案为ABC，现改为BCE。专业技能P17：自然人按照收入和资产分为高收入、高净值自然人和一般自然人。
《国家税务总局关于印发〈纳税人分级分类管理办法〉的通知》明确的分级管理职责中，省税务机关主要负责以下哪些职责（    ）|负责本级数据采集、数据集中管理、风险管理规划、风险任务管理、风险应对过程监控、效果评价、风险分析工具设计维护；|负责本级重点税源企业和区域性、行业性的税收风险分析；|协助税务总局开展大企业、高收入高净值自然人等纳税人的税收风险分析；负责本级高收入高净值自然人以及特定管理类型自然人的税收风险分析；|负责税务总局推送和本级确定风险任务的应对工作；负责辖区内政策法规管理和重大税收案件审理；|其他应当由省税务机关承担的事项。|1|2|3|4|5|专业技能P18：省税务机关主要负责本级数据采集、数据集中管理、风险管理规划、风险任务管理、风险应对过程监控、效果评价、风险分析工具设计维护；负责本级重点税源企业和区域性、行业性的税收风险分析；协助税务总局开展大企业、高收入高净值自然人等纳税人的税收风险分析；负责本级高收入高净值自然人以及特定管理类型自然人的税收风险分析；负责税务总局推送和本级确定风险任务的应对工作；负责辖区内政策法规管理和重大税收案件审理；其他应当由省税务机关承担的事项。|专业技能P18：省税务机关主要负责本级数据采集、数据集中管理、风险管理规划、风险任务管理、风险应对过程监控、效果评价、风险分析工具设计维护；负责本级重点税源企业和区域性、行业性的税收风险分析；协助税务总局开展大企业、高收入高净值自然人等纳税人的税收风险分析；负责本级高收入高净值自然人以及特定管理类型自然人的税收风险分析；负责税务总局推送和本级确定风险任务的应对工作；负责辖区内政策法规管理和重大税收案件审理；其他应当由省税务机关承担的事项。
各级税务机关应当加强风险应对事项的规范化建设，依法规范风险应对的（    ）。|工作流程|执法要求|证据采集|文书使用|执法流程|1|2|3|4|||
风险管理事项是指围绕分析确认纳税人税法遵从状况而开展的税收管理事项，主要包括（    ）、风险应对、风险应对过程监控、效果评价、风险分析工具设计维护等事项。|数据集中管理|风险管理规划|风险分析识别|风险任务管理|风险响应速度|1|2|3|4||专业技能P17：风险管理事项是指围绕分析确认纳税人税法遵从状况而开展的税收管理事项，主要包括数据集中管理、风险管理规划、风险分析识别、风险任务管理、风险应对、风险应对过程监控、效果评价、风险分析工具设计维护等事项。|专业技能P17：风险管理事项是指围绕分析确认纳税人税法遵从状况而开展的税收管理事项，主要包括数据集中管理、风险管理规划、风险分析识别、风险任务管理、风险应对、风险应对过程监控、效果评价、风险分析工具设计维护等事项。
 关于营改增征税范围，下列说法正确的有（    ）。|服务（租赁不动产除外）的销售方在境内，属于在境内销售服务|所销售或者租赁的不动产在境外| 境外单位向境内单位工程在境内的工程勘察勘探服务，属于在境内销售服务|无形资产（自然资源使用权除外）的购买方在境内，属于在境内销售无形资产|境外单位向境内单位提供的会议展览地点在境外的会议展览服务，属于在境内销售服务|1|3|4|||专业技能P23：在境内销售服务、无形资产或者不动产是指：所销售或者租赁的不动产在境内。境外单位或者个人发生的下列行为不属于在境内销售服务：向境内单位或者个人提供的会议展览地点在境外的会议展览服务。|专业技能P23：在境内销售服务、无形资产或者不动产是指：所销售或者租赁的不动产在境内。境外单位或者个人发生的下列行为不属于在境内销售服务：向境内单位或者个人提供的会议展览地点在境外的会议展览服务。
下列关于营改增纳税人简易计税方法的说法，正确的有（      ）。|公路经营企业中的一般纳税人收取试点前开工的高速公路的车辆通行，可以选择适用简易计税方法，减按5%的征收率计算应纳税额   |劳务派遣服务，可以选择按照简易计税方法依5%的征收率差额纳税|销售电梯的同时提供安装服务，其安装服务可以按照甲供工程选择适用简易计税方法计税|非学历教育服务，可以选择适用简易计税方法按照5%征收|以2016年4月30日前取得的不动产提供的融资租赁服务，可以选择适用简易计税方法，按照5%的征收率计算缴纳增值税|2|3|5|||专业技能P25：公路经营企业收取试点前开工的高速公路的车辆通行费，可以选择适用简易计税方法，减按3%的征收率计算应纳税额。专业技能P26：非学历教育服务。可以选择适用简易计税方法按照3%征收。|专业技能P25：公路经营企业收取试点前开工的高速公路的车辆通行费，可以选择适用简易计税方法，减按3%的征收率计算应纳税额。专业技能P26：非学历教育服务。可以选择适用简易计税方法按照3%征收。
非正常损失的不动产在建工程所耗用的（    ）的进项税额不得从销项税额中抵扣。|购进货物|设计服务|建筑服务|租赁服务|运输服务 |1|2|3|||专业技能P28：下列项目的进项税额不得从销项税额中抵扣：（5）非正常损失的不动产在建工程所耗用的购进货物、设计服务和建筑服务。纳税人新建、改建、扩建、修缮、装饰不动产，均属于不动产在建工程。|专业技能P28：下列项目的进项税额不得从销项税额中抵扣：（5）非正常损失的不动产在建工程所耗用的购进货物、设计服务和建筑服务。纳税人新建、改建、扩建、修缮、装饰不动产，均属于不动产在建工程。
下列行为属于《营业税改征增值税试点实施办法》（财税[2016]36号文件印发）第四十条规定的混合销售业务的是（     ）。|销售建材同时提供建材运输服务|纳税人销售外购活动板房的同时提供安装服务  |销售不动产同时提供咨询服务|提供建筑服务同时提供建筑工程监理服务|转让技术的同时提供咨询服务|1|2||||专业技能P24：（二）一项销售行为如果既涉及服务又涉及货物，为混合销售。从事货物的生产、批发或者零售的单位和个体工商户的混合销售行为，按照销售货物缴纳增值税；其他单位和个体工商户的混合销售行为，按照销售服务缴纳增值税。|专业技能P24：（二）一项销售行为如果既涉及服务又涉及货物，为混合销售。从事货物的生产、批发或者零售的单位和个体工商户的混合销售行为，按照销售货物缴纳增值税；其他单位和个体工商户的混合销售行为，按照销售服务缴纳增值税。
以下按“金融服务”征收增值税的有（      ）。|银行存款利息|获得保险公司赔付|融资性售后回租|以货币资金投资收取的固定利润或者保底利润|金融商品持有期间（含到期）利息|3|4|5|||专业技能P53：金融服务，是指经营金融保险的业务活动。包括贷款服务、直接收费金融服务、保险服务和金融商品转让。（一）贷款服务贷款，是指将资金贷与他人使用而取得利息收入的业务活动。各种占用、拆借资金取得的收入，包括金融商品持有期间（含到期）利息（保本收益、报酬、资金占用费、补偿金等）收入、信用卡透支利息收入、买入返售金融商品利息收入、融资融券收取的利息收入，以及融资性售后回租、押汇、罚息、票据贴现、转贷等业务取得的利息及利息性质的收入，按照贷款服务缴纳增值税。以货币资金投资收取的固定利润或者保底利润，按照贷款服务缴纳增值税。|专业技能P53：金融服务，是指经营金融保险的业务活动。包括贷款服务、直接收费金融服务、保险服务和金融商品转让。（一）贷款服务贷款，是指将资金贷与他人使用而取得利息收入的业务活动。各种占用、拆借资金取得的收入，包括金融商品持有期间（含到期）利息（保本收益、报酬、资金占用费、补偿金等）收入、信用卡透支利息收入、买入返售金融商品利息收入、融资融券收取的利息收入，以及融资性售后回租、押汇、罚息、票据贴现、转贷等业务取得的利息及利息性质的收入，按照贷款服务缴纳增值税。以货币资金投资收取的固定利润或者保底利润，按照贷款服务缴纳增值税。
试点纳税人提供旅游服务，可以选择以取得的全部价款和价外费用，扣除向旅游服务购买方收取并支付给其他单位或者个人的（     ）后的余额为销售额。|餐饮费|住宿费|门店租赁费|交通费和门票费|签证费|1|2|4|5||专业技能P29：试点纳税人提供旅游服务，可以选择以取得的全部价款和价外费用，扣除向旅游服务购买方收取并支付给其他单位或者个人的住宿费、餐饮费、交通费、签证费、门票费和支付给其他接团旅游企业的旅游费用后的余额为销售额。|专业技能P29：试点纳税人提供旅游服务，可以选择以取得的全部价款和价外费用，扣除向旅游服务购买方收取并支付给其他单位或者个人的住宿费、餐饮费、交通费、签证费、门票费和支付给其他接团旅游企业的旅游费用后的余额为销售额。
一般纳税人提供的下列建筑服务，可以选择简易计税方法按照3%的征收计算纳税（     ）。|以清包工方式提供的建筑服务|为甲供工程提供的建筑服务，甲供工程是指全部设备、材料、动力由工程发包方自行采购的建筑工程|为建筑工程老项目提供的建筑服务|为甲供工程提供的建筑服务，甲供工程是指全部或部分设备、材料、动力由工程发包方自行采购的建筑工程|跨县（市、区）提供建筑服务|1|3|4|||勘误：原答案为ACD，现改为ACDE。专业技能P48-49：一般纳税人提供的下列建筑服务，可以选择简易计税方法按照3%的征收计算纳税：（一）以清包工方式提供的建筑服务。（二）为甲供工程提供的建筑服务。指全部或部分设备、材料、动力由工程发包方自行采购的建筑工程。（三）为建筑工程老项目提供的建筑服务。选项E：（三）纳税人跨县（市、区）提供建筑服务，按照以下规定预缴税款：...2.一般纳税人跨县（市、区）提供建筑服务，选择适用简易计税方法计税的，以取得的全部价款和价外费用扣除支付的分包款后的余额，按照3%的征收率计算应预缴税款。|勘误：原答案为ACD，现改为ACDE。专业技能P48-49：一般纳税人提供的下列建筑服务，可以选择简易计税方法按照3%的征收计算纳税：（一）以清包工方式提供的建筑服务。（二）为甲供工程提供的建筑服务。指全部或部分设备、材料、动力由工程发包方自行采购的建筑工程。（三）为建筑工程老项目提供的建筑服务。选项E：（三）纳税人跨县（市、区）提供建筑服务，按照以下规定预缴税款：...2.一般纳税人跨县（市、区）提供建筑服务，选择适用简易计税方法计税的，以取得的全部价款和价外费用扣除支付的分包款后的余额，按照3%的征收率计算应预缴税款。
境内单位和个人向境外单位提供的完全在境外消费的下列服务和无形资产，适用增值税免税的有（    ）。|转让技术|商务辅助服务|广告投放地在境外的广告服务|无形资产|信息系统服务|2|3|4|||专业技能P34：向境外单位提供的完全在境外消费的下列服务和无形资产：（完全境外消费）（1）电信服务。(2）知识产权服务。 (3）物流辅助服务（仓储服务、收派服务除外）。(4）鉴证咨询服务。(5）专业技术服务。 (6）商务辅助服务。(7）广告投放地在境外的广告服务。 (8）无形资产。|专业技能P34：向境外单位提供的完全在境外消费的下列服务和无形资产：（完全境外消费）（1）电信服务。(2）知识产权服务。 (3）物流辅助服务（仓储服务、收派服务除外）。(4）鉴证咨询服务。(5）专业技术服务。 (6）商务辅助服务。(7）广告投放地在境外的广告服务。 (8）无形资产。
营业税改征增值税后由地税机关继续受理（     ）的申报缴税和代开增值税发票业务。|房地产开发企业销售其自行开发的房地产|纳税人销售其取得的不动产|其他个人出租不动产|纳税人提供建筑劳务|纳税人（含其他个人）纳税人（不含其他个人）出租不动产|2|3||||专业技能P41：营改增后，为方便纳税人，暂定由地税局办理纳税人销售其取得的不动产和其他个人出租不动产增值税的纳税申报受理、计税价格评估、税款征收、税收优惠备案、发票代开等有关事项。|专业技能P41：营改增后，为方便纳税人，暂定由地税局办理纳税人销售其取得的不动产和其他个人出租不动产增值税的纳税申报受理、计税价格评估、税款征收、税收优惠备案、发票代开等有关事项。
以下关于营改增后相关税种计税依据的说法，正确的有（    ）。|个人出租房屋的个人所得税应税收入不含增值税| 土地增值税扣除项目涉及的增值税进项税额，允许在销项税额中计算抵扣的，不计入扣除项目| 免征增值税的，确定计税依据时，成交价格、租金收入、转让房地产取得的收入扣减增值税额  | 房产出租的，计征房产税的租金收入不含增值税| 个人转让房屋的个人所得税应税收入不含增值税，计算转让所得时可扣除的税费包括本次转让缴纳的增值税   |1|2|4|||专业技能P60：免征增值税的，确定计税依据时，成交价格、租金收入、转让房地产取得的收入不扣减增值税额。个人转让房屋的个人所得税应税收入不含增值税，其取得房屋时所支付价款中包含的增值税计入财产原值，计算转让所得时可扣除的税费不包括本次转让缴纳的增值税。|专业技能P60：免征增值税的，确定计税依据时，成交价格、租金收入、转让房地产取得的收入不扣减增值税额。个人转让房屋的个人所得税应税收入不含增值税，其取得房屋时所支付价款中包含的增值税计入财产原值，计算转让所得时可扣除的税费不包括本次转让缴纳的增值税。
以下关于营改增后相关税种计税依据的说法，正确的有（     ）。| 适用增值税一般计税方法的纳税人，其转让房地产的土地增值税应税收入不含增值税应纳税额   | 土地增值税预征的计征依据=预收款-应预缴增值税税款| 适用简易计税方法的纳税人，其转让房地产的土地增值税应税收入不含增值税应纳税额  | 预缴增值税的纳税人在其机构所在地申报缴纳增值税时，以其实际缴纳的增值税税额为计税依据，并按机构所在地的城市维护建设税适用税率和教育费附加征收率就地计算缴纳城市维护建设税和教育费附加| 计算土地增值税增值额的扣除项目中“与转让房地产有关的税金”不包括增值税|2|3|4|5||勘误：原答案为BDE，现改为BCDE。专业技能P59：适用增值税一般计税方法的纳税人，其转让房地产的土地增值税应税收入不含增值税销项税额；选项C正确：适用简易计税方法的纳税人，其转让房地产的土地增值税应税收入不含增值税应纳税额。|勘误：原答案为BDE，现改为BCDE。专业技能P59：适用增值税一般计税方法的纳税人，其转让房地产的土地增值税应税收入不含增值税销项税额；选项C正确：适用简易计税方法的纳税人，其转让房地产的土地增值税应税收入不含增值税应纳税额。
销售方按有关规定需要开具红字专用发票的，如购买方取得专用发票已用于申报抵扣的，购买方可在 “新系统”中填开并上传《信息表》。以下关于《信息表》填写和处理正确的是（     ）。|在填开《信息表》时不填写相对应的蓝字专用发票信息|应暂依《信息表》所列增值税税额从当期进项税额中转出|待取得销售方开具的红字专用发票后，与《信息表》一并作为记账凭证|《信息表》所列增值税税额可暂不从当期进项税额中转出，待取得销售方开具的红字专用发票后再作转出处理|填开《信息表》时需要填写相对应的蓝字专用发票信息|1|2|3|||专业技能P40：购买方取得专用发票已用于申报抵扣的，购买方可在增值税发票管理新系统中填开并上传《开具红字增值税专用发票信息表》，在填开《信息表》时不填写相对应的蓝字专用发票信息，应暂依《信息表》所列增值税税额从当期进项税额中转出，待取得销售方开具的红字专用发票后，与《信息表》一并作为记账凭证。|专业技能P40：购买方取得专用发票已用于申报抵扣的，购买方可在增值税发票管理新系统中填开并上传《开具红字增值税专用发票信息表》，在填开《信息表》时不填写相对应的蓝字专用发票信息，应暂依《信息表》所列增值税税额从当期进项税额中转出，待取得销售方开具的红字专用发票后，与《信息表》一并作为记账凭证。
以下关于单用途商业预付卡业务的说法正确的是（     ）。|售卡方接受单用途卡持卡人充值取得的预收资金，不缴纳增值税|售卡方可按照规定向购卡人、充值人开具增值税普通发票，不得开具增值税专用发票|售卡方因发行或者销售单用途卡并办理相关资金收付结算业务取得的手续费、结算费、服务费、管理费等收入，应按照现行规定缴纳增值税|持卡人使用单用途卡购买货物或服务时，货物或者服务的销售方应按照现行规定缴纳增值税，且不得向持卡人开具增值税发票|售卡方销售单用途卡取得的预收资金，缴纳增值税|1|2|3|4||专业技能P58：单用途卡发卡企业或者售卡企业（以下统称“售卡方”）销售单用途卡，或者接受单用途卡持卡人充值取得的预收资金，不缴纳增值税。|专业技能P58：单用途卡发卡企业或者售卡企业（以下统称“售卡方”）销售单用途卡，或者接受单用途卡持卡人充值取得的预收资金，不缴纳增值税。
自2016年9月1日起，《商品和服务税收分类与编码（试行）》中的分类编码增加6“未发生销售行为的不征税项目”。以下关于该项目的表述正确的是（      ）。|“未发生销售行为的不征税项目”下设601 “预付卡销售和充值”|“未发生销售行为的不征税项目”下设602“销售自行开发的房地产项目预收款”|“未发生销售行为的不征税项目”下设603 “已申报缴纳营业税未开票补开票”|使用“未发生销售行为的不征税项目”编码，发票税率栏应填写“不征税”，不得开具增值税专用发票|使用“未发生销售行为的不征税项目”编码，发票税率栏应填写“0”，不得开具增值税专用发票|1|2|3|4||专业技能P42:使用“未发生销售行为的不征税项目”编码，发票税率栏应填写“不征税”，不得开具增值税专用发票。|专业技能P42:使用“未发生销售行为的不征税项目”编码，发票税率栏应填写“不征税”，不得开具增值税专用发票。
月销售额超过3万元（或季销售额超过9万元）的鉴证咨询业小规模纳税人（     ），需要开具增值税专用发票的，可以通过增值税发票管理新系统自行开具，主管国税机关不再为其代开。|销售货物|销售其取得的不动产|提供顾问服务|提供认证服务|销售无形资产|1|3|4|5||专业技能P37：月销售额超过3万元（或季销售额超过9万元）的住宿业、鉴证咨询业、建筑业增值税小规模纳税人提供住宿服务、认证服务、鉴证服务、咨询服务、销售货物或发生其他增值税应税行为，需要开具专用发票的，可以通过增值税发票管理新系统自行开具，主管国税机关不再为其代开。|专业技能P37：月销售额超过3万元（或季销售额超过9万元）的住宿业、鉴证咨询业、建筑业增值税小规模纳税人提供住宿服务、认证服务、鉴证服务、咨询服务、销售货物或发生其他增值税应税行为，需要开具专用发票的，可以通过增值税发票管理新系统自行开具，主管国税机关不再为其代开。
房地产开发企业中的一般纳税人销售其开发的房地产项目（选择简易计税方法的房地产老项目除外），以取得的全部价款和价外费用，扣除受让土地时向政府部门支付的土地价款后的余额为销售额。所称“向政府部门支付的土地价款”包括（      ）。|土地价款|征地和拆迁补偿费用|土地前期开发费用|土地出让收益|土地滞纳金|1|2|3|4||专业技能P51：“向政府部门支付的土地价款”，包括土地受让人向政府部门支付的征地和拆迁补偿费用、土地前期开发费用和土地出让收益等。|专业技能P51：“向政府部门支付的土地价款”，包括土地受让人向政府部门支付的征地和拆迁补偿费用、土地前期开发费用和土地出让收益等。
