Question|Option1|Option2|Option3|Option4|Option5|Answer1|Answer2|Answer3|Answer4|Answer5|Notes|Notes
2017年开展“春风行动”的行动内容中，为了扩大社会合作范围，要对接现代物流实现（    ）线上线下（O2O）配送或约时定点领取服务。|涉税业务文书|客户端申报软件|电子缴款凭证|纸质发票|电子发票|1|4||||专业技能 P76 19、扩大社会合作范围。充分利用银行、社区、街道等网格化网点，在银行自助服务区和街道办事处等地配置24小时自助办税服务设备，延伸24小时自助办税服务(2017年底前实施)。逐步委托邮政等机构代开发票、代征税款(2017年6月底前启动)。对接现代物流实现涉税业务文书和纸质发票线上线下（O2O）配送或约时定点领取服务(2017年9月底前实施)。|专业技能 P76 19、扩大社会合作范围。充分利用银行、社区、街道等网格化网点，在银行自助服务区和街道办事处等地配置24小时自助办税服务设备，延伸24小时自助办税服务(2017年底前实施)。逐步委托邮政等机构代开发票、代征税款(2017年6月底前启动)。对接现代物流实现涉税业务文书和纸质发票线上线下（O2O）配送或约时定点领取服务(2017年9月底前实施)。
2017年开展“春风行动”，要把握“长流水、不断线、打连发、呈递进”的工作节奏，紧扣全国纳税人满意度调查发现的问题，推进办税制度改革，创响纳税服务品牌，总体设计、分步推进，以下表述正确的是（    ）。|通过减少办税等候时间、简并涉税资料报送、提速出口退（免）税办理、优化发票领用方式4项措施提速减负，打造效能税务。|通过升级改造服务平台、优化发票领用方式、拓展发票开具方式、推进外出经营管理电子化4项措施创新服务，积聚智慧税务。|通过加强缴税方式技术支撑、推进办税制度改革、扩大区域通办范围、拓展热线服务功能4项措施精准发力，唱响便民税务。|通过完善税收执法程序、创新税收执法方式、巩固商事登记制度改革成果、强化纳税信用管理运用4项措施公正执法，营造公平税务。|通过深化国税地税联合办税、扩大区域通办范围、扩大社会合作范围、服务国家发展战略4项措施合力共赢，构建协作税务。|2|4||||专业技能 P74 第二章 二：A选项错在没有优化发票领用；C选项错在没有加强缴税方式技术支撑；E错在没有扩大区域通办范围|专业技能 P74 第二章 二：A选项错在没有优化发票领用；C选项错在没有加强缴税方式技术支撑；E错在没有扩大区域通办范围
2017年开展“春风行动”的行动内容中，以下措施属于“提速减负，打造效能税务”大类的是（    ）。|通过移动互联网为纳税人实时提供办税服务厅等候人数、已办理人数等排队信息，方便纳税人合理选择办税地点，提高办税效率。|加大实名办税推行力度，线上线下采集纳税人及其代理人身份等信息，强化与业务系统无缝对接，针对实名办税纳税人开展个性化服务，减少资料重复报送，加强内部风险管控和外部结果推送，完善“登记、办税、服务、管理”全过程实名制。|简化工程项目在境外的建筑服务证明材料，简化国际运输服务免征增值税的备案资料，简化在境外提供旅游服务的证明材料。|优化网上申报系统，纳税人填写基础性数据后，由软件进行数据审核、逻辑计算、分类填写，有效辅导纳税人快捷准确填写申报表，提升申报质量。|加强POS机、网上银行、手机银行等多元化缴税方式技术支撑。|1|3|4|||专业技能 P74-75 第三章，一：1、减少办税等候时间。推进网上办税为主、自助和其他社会办税为辅、实体办税服务厅兜底的办税模式，让纳税人多走“网路”、少走“马路”（2017年9月底前实施）。通过移动互联网为纳税人实时提供办税服务厅等候人数、已办理人数等排队信息，方便纳税人合理选择办税地点，提高办税效率（2017年9月底前实施）。针对办税“波峰”“波谷”情况，在办税“波峰”期大力推行预约办税，提供网上、掌上等多渠道预约服务，减少办税服务厅排队等候时间（2017年底前实施）。优化房地产交易税收服务，落实房地产交易税收服务和管理指引要求，推进部门信息共享，减少信息重复录入及复核时间，探索由纳税人通过互联网、手机客户端或自助办税终端提前录入申报所需税源信息，探索实行同城通办或房地产管理部门、不动产登记部门与税务部门业务联办，为纳税人提供更加便捷的服务（2017年1月启动）。2.简并涉税资料报送。简化发票代开业务资料报送（2016年11月实施），简化银行业资产损失资料报送要求（2017年启动），简化工程项目在境外的建筑服务证明材料，简化国际运输服务免征增值税的备案资料，简化在境外提供旅游服务的证明材料（2017年1月实施），简化非居民企业源泉扣缴信息申报，为纳税人和基层税务机关减轻负担（2017年启动）。|专业技能 P74-75 第三章，一：1、减少办税等候时间。推进网上办税为主、自助和其他社会办税为辅、实体办税服务厅兜底的办税模式，让纳税人多走“网路”、少走“马路”（2017年9月底前实施）。通过移动互联网为纳税人实时提供办税服务厅等候人数、已办理人数等排队信息，方便纳税人合理选择办税地点，提高办税效率（2017年9月底前实施）。针对办税“波峰”“波谷”情况，在办税“波峰”期大力推行预约办税，提供网上、掌上等多渠道预约服务，减少办税服务厅排队等候时间（2017年底前实施）。优化房地产交易税收服务，落实房地产交易税收服务和管理指引要求，推进部门信息共享，减少信息重复录入及复核时间，探索由纳税人通过互联网、手机客户端或自助办税终端提前录入申报所需税源信息，探索实行同城通办或房地产管理部门、不动产登记部门与税务部门业务联办，为纳税人提供更加便捷的服务（2017年1月启动）。2.简并涉税资料报送。简化发票代开业务资料报送（2016年11月实施），简化银行业资产损失资料报送要求（2017年启动），简化工程项目在境外的建筑服务证明材料，简化国际运输服务免征增值税的备案资料，简化在境外提供旅游服务的证明材料（2017年1月实施），简化非居民企业源泉扣缴信息申报，为纳税人和基层税务机关减轻负担（2017年启动）。
2017年开展“春风行动”的行动内容中，以下措施属于“创新服务，积聚智慧税务”大类的是（    ）。|通过移动互联网为纳税人实时提供办税服务厅等候人数、已办理人数等排队信息，方便纳税人合理选择办税地点，提高办税效率。|提供发票网上、掌上申请，物流配送或窗口及自助终端自取纸质发票服务，实现发票领用“线上申领、线下配送”。|加大实名办税推行力度，线上线下采集纳税人及其代理人身份等信息，强化与业务系统无缝对接。|优化网上申报系统，纳税人填写基础性数据后，由软件进行数据审核、逻辑计算、分类填写，有效辅导纳税人快捷准确填写申报表，提升申报质量。|提供增值税发票代开网上、掌上预申请功能，纳税人通过网上办税平台、手机APP等渠道代开发票，税费一体化征收，选择物流配送或窗口及自助终端自取纸质发票服务，实现发票代开“线上办理、线下开具”。|2|5||||专业技能 P75 二：6.优化发票领用方式。提供发票网上、掌上申请，物流配送或窗口及自助终端自取纸质发票服务，实现发票领用“线上申领、线下配送” （2017年9月底前实施）。7.拓展发票开具方式。提供增值税发票代开网上、掌上预申请功能，纳税人通过网上办税平台、手机APP等渠道代开发票，税费一体化征收，选择物流配送或窗口及自助终端自取纸质发票服务，实现发票代开“线上办理、线下开具”（2017年底前实施）。扩大小规模纳税人自开专用发票试点行业范围（2017年6月底前实施）。推进发票无纸化试点工作，推动电子发票在电子商务等领域的使用，逐步实现纸质发票到电子发票的变革（2017年9月底前启动）。|专业技能 P75 二：6.优化发票领用方式。提供发票网上、掌上申请，物流配送或窗口及自助终端自取纸质发票服务，实现发票领用“线上申领、线下配送” （2017年9月底前实施）。7.拓展发票开具方式。提供增值税发票代开网上、掌上预申请功能，纳税人通过网上办税平台、手机APP等渠道代开发票，税费一体化征收，选择物流配送或窗口及自助终端自取纸质发票服务，实现发票代开“线上办理、线下开具”（2017年底前实施）。扩大小规模纳税人自开专用发票试点行业范围（2017年6月底前实施）。推进发票无纸化试点工作，推动电子发票在电子商务等领域的使用，逐步实现纸质发票到电子发票的变革（2017年9月底前启动）。
2017年开展“春风行动”的行动内容中，以下措施属于“精准发力，唱响便民税务”大类的是（     ）。|加强整体协调和业务统筹，促进分税种、分业务设置服务事项办税模式的转变，推动关联度高的业务事项归并整合。|针对办税“波峰”“波谷”情况，在办税“波峰”期大力推行预约办税，提供网上、掌上等多渠道预约服务，减少办税服务厅排队等候时间。|为纳税人提供企业所得税申报疑点数据的校验、反馈和提醒服务，减少纳税人申报错误风险。|加大实名办税推行力度，线上线下采集纳税人及其代理人身份等信息，强化与业务系统无缝对接，针对实名办税纳税人开展个性化服务，减少资料重复报送，加强内部风险管控和外部结果推送，完善“登记、办税、服务、管理”全过程实名制。|全面整合国家税务局、地方税务局服务资源，推广办税服务厅“一窗一人”国税地税联合办税服务模式，实现涉税业务一窗办理。|1|4||||专业技能 P75-76 三:9.加速实名办税进程。加大实名办税推行力度，线上线下采集纳税人及其代理人身份等信息，强化与业务系统无缝对接，针对实名办税纳税人开展个性化服务，减少资料重复报送，加强内部风险管控和外部结果推送，完善“登记、办税、服务、管理”全过程实名制（2017年6月底前实施）。10.推进办税制度改革。加强整体协调和业务统筹，促进分税种、分业务设置服务事项办税模式的转变，推动关联度高的业务事项归并整合(2017年6月底前启动)。推进纳税人自主申报，还责还权于纳税人，探索推行信用管税办税制度，健全和完善专业技能基础管理制度(2017年6月底前启动)。|专业技能 P75-76 三:9.加速实名办税进程。加大实名办税推行力度，线上线下采集纳税人及其代理人身份等信息，强化与业务系统无缝对接，针对实名办税纳税人开展个性化服务，减少资料重复报送，加强内部风险管控和外部结果推送，完善“登记、办税、服务、管理”全过程实名制（2017年6月底前实施）。10.推进办税制度改革。加强整体协调和业务统筹，促进分税种、分业务设置服务事项办税模式的转变，推动关联度高的业务事项归并整合(2017年6月底前启动)。推进纳税人自主申报，还责还权于纳税人，探索推行信用管税办税制度，健全和完善专业技能基础管理制度(2017年6月底前启动)。
2017年开展“春风行动”的行动内容中，以下措施属于“握公正执法，营造公平税务”大类的是（     ）。|严格实施重大税务案件审理办法。|深化国税地税联合办税，联合开展遵从合作、风险提示等大企业纳税服务工作。|推进纳税人自主申报，还责还权于纳税人，探索推行信用管税办税制度，健全和完善纳税服务基础管理制度。|建立和实施税务行政执法案例指导制度。|完善商事登记制度改革后的税收征管配套措施，做好个体工商户“两证整合”改革后续管理工作，加强改革效应分析，积极开展后续事中事后监管。|1|4|5|||专业技能 P76 四：13.完善税收执法程序。积极推行《全国税务稽查规范（1.0版）》，健全税务检查、处罚告知、处罚听证、集体审议、作出决定、文书送达等制度规定(2017年启动)。严格实施重大税务案件审理办法(2017年启动)。14.创新税收执法方式。建立健全“双随机、一公开”监管机制，全面推进税务稽查随机抽查，体现执法公平，提高执法效能(2017年底前实施)。建立和实施税务行政执法案例指导制度(2017年底前实施)。15.巩固商事登记制度改革成果。完善商事登记制度改革后的税收征管配套措施，做好个体工商户“两证整合”改革后续管理工作，加强改革效应分析，积极开展后续事中事后监管(2016年12月启动)。|专业技能 P76 四：13.完善税收执法程序。积极推行《全国税务稽查规范（1.0版）》，健全税务检查、处罚告知、处罚听证、集体审议、作出决定、文书送达等制度规定(2017年启动)。严格实施重大税务案件审理办法(2017年启动)。14.创新税收执法方式。建立健全“双随机、一公开”监管机制，全面推进税务稽查随机抽查，体现执法公平，提高执法效能(2017年底前实施)。建立和实施税务行政执法案例指导制度(2017年底前实施)。15.巩固商事登记制度改革成果。完善商事登记制度改革后的税收征管配套措施，做好个体工商户“两证整合”改革后续管理工作，加强改革效应分析，积极开展后续事中事后监管(2016年12月启动)。
2017年开展“春风行动”的行动内容中，以下措施属于“合力共赢，构建协作税务”大类的是（    ）。|进一步拓展同城通办和全省通办的业务范围，在全省通办的基础上提升业务通办的层级。|不断优化完善“京津冀综合税务服务网”功能，巩固税收服务京津冀协同发展成果。|深化国税地税联合办税，联合开展遵从合作、风险提示等大企业纳税服务工作。|优化房地产交易税收服务，落实房地产交易税收服务和管理指引要求，推进部门信息共享，减少信息重复录入及复核时间，探索实行同城通办或房地产管理部门、不动产登记部门与税务部门业务联办，为纳税人提供更加便捷的服务。|加大实名办税推行力度，线上线下采集纳税人及其代理人身份等信息，强化与业务系统无缝对接。|2|3||||专业技能 P76 17.加强缴税方式技术支撑。加强POS机、网上银行、手机银行等多元化缴税方式技术支撑(2017年底前实施)。试点居民企业网上代扣代缴非居民企业所得税(2017年底前实施)。18.深化国税地税联合办税。全面整合国家税务局、地方税务局服务资源，推广办税服务厅“一窗一人”国税地税联合办税服务模式，实现涉税业务一窗办理(2017年9月底前实施)。联合开展遵从合作、风险提示等大企业专业技能工作(2017年3月初启动)。19.扩大社会合作范围。充分利用银行、社区、街道等网格化网点，在银行自助服务区和街道办事处等地配置24小时自助办税服务设备，延伸24小时自助办税服务(2017年底前实施)。逐步委托邮政等机构代开发票、代征税款(2017年6月底前启动)。对接现代物流实现涉税业务文书和纸质发票线上线下（O2O）配送或约时定点领取服务(2017年9月底前实施)。20.服务国家发展战略。结合“走出去”纳税人需求，继续落实和完善服务“一带一路”战略的各项税收举措（2017年底前实施）。不断优化完善“京津冀综合税务服务网”功能，巩固税收服务京津冀协同发展成果（2017年底前实施）。深化长江经济带税收信息共享平台数据应用，探索创新税收征管服务举措（2017年底前实施）。创新自由贸易试验区发展的服务措施(2017年9月底前实施)|专业技能 P76 17.加强缴税方式技术支撑。加强POS机、网上银行、手机银行等多元化缴税方式技术支撑(2017年底前实施)。试点居民企业网上代扣代缴非居民企业所得税(2017年底前实施)。18.深化国税地税联合办税。全面整合国家税务局、地方税务局服务资源，推广办税服务厅“一窗一人”国税地税联合办税服务模式，实现涉税业务一窗办理(2017年9月底前实施)。联合开展遵从合作、风险提示等大企业专业技能工作(2017年3月初启动)。19.扩大社会合作范围。充分利用银行、社区、街道等网格化网点，在银行自助服务区和街道办事处等地配置24小时自助办税服务设备，延伸24小时自助办税服务(2017年底前实施)。逐步委托邮政等机构代开发票、代征税款(2017年6月底前启动)。对接现代物流实现涉税业务文书和纸质发票线上线下（O2O）配送或约时定点领取服务(2017年9月底前实施)。20.服务国家发展战略。结合“走出去”纳税人需求，继续落实和完善服务“一带一路”战略的各项税收举措（2017年底前实施）。不断优化完善“京津冀综合税务服务网”功能，巩固税收服务京津冀协同发展成果（2017年底前实施）。深化长江经济带税收信息共享平台数据应用，探索创新税收征管服务举措（2017年底前实施）。创新自由贸易试验区发展的服务措施(2017年9月底前实施)
国家税务总局决定，2017年继续开展“春风行动”，以下有关措施属于2017年“春风行动”行动内容的是（    ）。|取消增值税专用发票和机动车销售统一发票认证，简化办税流程，减轻纳税人和基层税务机关负担。|通过移动互联网为纳税人实时提供办税服务厅等候人数、已办理人数等排队信息，方便纳税人合理选择办税地点，提高办税效率。|加大实名办税推行力度，线上线下采集纳税人及其代理人身份等信息，强化与业务系统无缝对接，针对实名办税纳税人开展个性化服务，减少资料重复报送，加强内部风险管控和外部结果推送，完善“登记、办税、服务、管理”全过程实名制。|持续扩大“银税互动”受惠面，将守信个体工商户和其他类型纳税人纳入“银税互动”受惠范围。|落实二维码一次性告知制度，以《全国税务机关纳税服务规范》等规范为基础，实现纳税人基础办税流程、报送资料、办理时限等一次性电子化告知。|2|3|4|||专业技能 P73-76 错误选项不在2017年"春风行动"内容中|专业技能 P73-76 错误选项不在2017年"春风行动"内容中
2014年—2017年，国家税务总局分别以（    ）为主题连续开展了“便民办税春风行动”。|提速|规范|改革·合作|便民·创新|提升·创响|1|2|3|5||专业技能 P74 第一章（四）创响服务品牌需要“春风行动”久久为功。近三年开展的“春风行动”在全国范围内实现了办税全面提速、服务全面规范、合作全面深化，打造了税务服务特色品牌，树立了税务部门良好形象。各级税务机关要从纳税人期望出发，认真梳理和总结历年“春风行动”中的便民办税有效措施，通过开展“春风行动”持续推出一批可借鉴、可复制、可推广的经验做法，切实实现成果转化，让税务机关服务品牌更响、管理效能更优、社会形象更佳|专业技能 P74 第一章（四）创响服务品牌需要“春风行动”久久为功。近三年开展的“春风行动”在全国范围内实现了办税全面提速、服务全面规范、合作全面深化，打造了税务服务特色品牌，树立了税务部门良好形象。各级税务机关要从纳税人期望出发，认真梳理和总结历年“春风行动”中的便民办税有效措施，通过开展“春风行动”持续推出一批可借鉴、可复制、可推广的经验做法，切实实现成果转化，让税务机关服务品牌更响、管理效能更优、社会形象更佳
2017年度“便民办税春风行动”工作要求，包括（     ）。|加强目标细化|加强组织协调|加强创新引领|加强宣传报道|加强督促检查|2|3|4|5||专业技能 P77 工作要求：一、了解加强组织协调；二、了解加强创新引领；三、了解加强宣传报道；四、了解加强督促检查|专业技能 P77 工作要求：一、了解加强组织协调；二、了解加强创新引领；三、了解加强宣传报道；四、了解加强督促检查
2017年度“便民办税春风行动”对深化国地税联合办税提出了新的举措，以下属于总局关于开展2017年“便民办税春风行动”意见中提及的深化国税地税联合办税的措施的是（      ）。|按照税务总局要求，细化实施方案，强化责任落实，确保《国家税务局 地方税务局合作规范（2.0版）》有效落地。|全面整合国家税务局、地方税务局服务资源，推广办税服务厅“一窗一人”国税地税联合办税服务模式，实现涉税业务一窗办理|深度整合国税、地税办税服务厅资源，推行国税、地税互设窗口、共建办税服务厅、共驻政务服务中心。|国税、地税业务一厅办理，实现“前台一家受理、后台分别处理、限时办结反馈”服务模式，逐步使现有国税、地税办税服务厅成为联合对外提供办税服务的场所。|联合开展遵从合作、风险提示等大企业纳税服务工作。|2|5||||专业技能 P76 D选项错在一厅办理，应为一窗办理|专业技能 P76 D选项错在一厅办理，应为一窗办理
2017年度“便民办税春风行动”对减少办税等候时间提出了新的举措，以下属于总局关于开展2017年“便民办税春风行动”意见中提及的减少办税等候时间的措施的是（      ）。|通过移动互联网为纳税人实时提供办税服务厅等候人数、已办理人数等排队信息，方便纳税人合理选择办税地点，提高办税效率。|针对办税“波峰”“波谷”情况，在办税“波峰”期大力推行预约办税，提供网上、掌上等多渠道预约服务，减少办税服务厅排队等候时间。|通过调配人员或政府购买服务等方式增加办税服务厅等一线窗口人力资源。|合理简并纳税人申报纳税次数，实行小规模纳税人增值税按季申报。|优化房地产交易税收服务，落实房地产交易税收服务和管理指引要求，推进部门信息共享，减少信息重复录入及复核时间。|1|2|5|||专业技能 P74 第三章 一：1.减少办税等候时间。推进网上办税为主、自助和其他社会办税为辅、实体办税服务厅兜底的办税模式，让纳税人多走“网路”、少走“马路”（2017年9月底前实施）。通过移动互联网为纳税人实时提供办税服务厅等候人数、已办理人数等排队信息，方便纳税人合理选择办税地点，提高办税效率（2017年9月底前实施）。针对办税“波峰”“波谷”情况，在办税“波峰”期大力推行预约办税，提供网上、掌上等多渠道预约服务，减少办税服务厅排队等候时间（2017年底前实施）。优化房地产交易税收服务，落实房地产交易税收服务和管理指引要求，推进部门信息共享，减少信息重复录入及复核时间，探索由纳税人通过互联网、手机客户端或自助办税终端提前录入申报所需税源信息，探索实行同城通办或房地产管理部门、不动产登记部门与税务部门业务联办，为纳税人提供更加便捷的服务（2017年1月启动）。|专业技能 P74 第三章 一：1.减少办税等候时间。推进网上办税为主、自助和其他社会办税为辅、实体办税服务厅兜底的办税模式，让纳税人多走“网路”、少走“马路”（2017年9月底前实施）。通过移动互联网为纳税人实时提供办税服务厅等候人数、已办理人数等排队信息，方便纳税人合理选择办税地点，提高办税效率（2017年9月底前实施）。针对办税“波峰”“波谷”情况，在办税“波峰”期大力推行预约办税，提供网上、掌上等多渠道预约服务，减少办税服务厅排队等候时间（2017年底前实施）。优化房地产交易税收服务，落实房地产交易税收服务和管理指引要求，推进部门信息共享，减少信息重复录入及复核时间，探索由纳税人通过互联网、手机客户端或自助办税终端提前录入申报所需税源信息，探索实行同城通办或房地产管理部门、不动产登记部门与税务部门业务联办，为纳税人提供更加便捷的服务（2017年1月启动）。
2016年，总局将《国家税务局 地方税务局合作工作规范（2.0版）》升级为《国家税务局 地方税务局合作工作规范（3.0版）》，此次升级具有重要意义，包括（    ）。|升级合作规范是助力营改增和资源税改革的迫切需要|升级合作规范是深入落实征管体制改革方案的必然选择|升级合作规范是保障基层工作更有效开展的必要举措|升级合作规范是优化资源配置的迫切需要|升级合作规范是建设服务型政府的迫切需要|1|2|3|||专业技能 P77-78 第五篇（一）升级合作规范是助力营改增和资源税改革的迫切需要。（二）升级合作规范是深入落实征管体制改革方案的必然选择。（三）升级合作规范是保障基层工作更有效开展的必要举措。|专业技能 P77-78 第五篇（一）升级合作规范是助力营改增和资源税改革的迫切需要。（二）升级合作规范是深入落实征管体制改革方案的必然选择。（三）升级合作规范是保障基层工作更有效开展的必要举措。
国地税联合联合办理设立登记，“三证合一、一照一码”实施后，国地税双方对新设立纳税人（    ）保持一致。|纳税申报信息|税务登记户数|基础信息|涉税事项审批信息|财产登记信息|2|3||||专业技能 P80 最上面落实标准“三证合一、一照一码”实施后，双方对新设立纳税人税务登记户数和基础信息保持一致。|专业技能 P80 最上面落实标准“三证合一、一照一码”实施后，双方对新设立纳税人税务登记户数和基础信息保持一致。
国地税合作工作规范要求，建设国税、地税统一的移动互联纳税服务应用系统，为纳税人提供移动互联纳税服务。移动互联纳税服务应用系统应当实现资讯、（    ）等五项功能。|互动|办税|查询|维权|咨询|1|2|3|4||专业技能 P84 七：(一）移动互联专业技能系统应当实现资讯、互动、办税、查询、维权五项功能。其中E选项错在是资讯不是咨询|专业技能 P84 七：(一）移动互联专业技能系统应当实现资讯、互动、办税、查询、维权五项功能。其中E选项错在是资讯不是咨询
国地税合作工作规范要求，2017年年底前建成国地税双方业务（     ）、融合国家税务局、地方税务局的电子税务局。|标识统一|流程统一 |操作统一|口径统一|界面统一|1|2|3|||专业技能 P83 六：（一）共同提供“互联网+税务”服务产品，完善网上办税平台服务功能，实现纳税人登录一个平台，办理两家业务。在此基础上，逐步建成标识统一、流程统一、操作统一，融合双方业务的电子税务局。|专业技能 P83 六：（一）共同提供“互联网+税务”服务产品，完善网上办税平台服务功能，实现纳税人登录一个平台，办理两家业务。在此基础上，逐步建成标识统一、流程统一、操作统一，融合双方业务的电子税务局。
《国家税务局 地方税务局合作工作规范（3.0版）》的合作事项包括（     ）等四大类。|服务深度融合|执法适度整合|信息高度聚合|管理适度互鉴|其他合作事项|1|2|3|5||专业技能 P79-109 每章主题综合|专业技能 P79-109 每章主题综合
国地税合作工作规范要求国地税部门利用共享涉税信息，提升数据质量，开展风险管理，强化征收管理，优化纳税服务，提供决策支持，包括开展（    ）等方面的应用。|风险识别分析|经济税收分析|协同监督管理|合作执法检查|协同数据分析|1|2|3|||专业技能 P107 三、掌握共享涉税信息的应用的（二）合作方式利用共享数据开展风险识别分析、经济税收分析、协同监督管理等方面的应用。|专业技能 P107 三、掌握共享涉税信息的应用的（二）合作方式利用共享数据开展风险识别分析、经济税收分析、协同监督管理等方面的应用。
根据《国家税务局 地方税务局合作工作规范（3.0版）》规定，协同开展风险应对应按照（    ）的原则，提取风险数据，确定高风险纳税人，及时交换高风险纳税人名单及风险点信息，依据风险特征库、风险分析模型、风险识别指标以及风险应对预案，统筹确定应对方式、安排应对合作部门，共同开展风险应对工作。|统一信息采集|统一项目分析|统一数据口径|统一发布平台|统一制定指标|1|2|3|4||专业技能 P98 九：（三）合作流程按照“统一信息采集、统一项目分析、统一数据口径、统一发布平台”的原则，提取风险数据，确定高风险纳税人，及时交换高风险纳税人名单及风险点信息，依据风险特征库、风险分析模型、风险识别指标以及风险应对预案，统筹确定应对方式、安排应对合作部门，共同开展风险应对工作。|专业技能 P98 九：（三）合作流程按照“统一信息采集、统一项目分析、统一数据口径、统一发布平台”的原则，提取风险数据，确定高风险纳税人，及时交换高风险纳税人名单及风险点信息，依据风险特征库、风险分析模型、风险识别指标以及风险应对预案，统筹确定应对方式、安排应对合作部门，共同开展风险应对工作。
对已纳入“三证合一、一照一码”登记范围的纳税人，按照“一照一码”登记制度办理税务登记，国税、地税与工商、质监部门实现（     ）。|一表申请|一窗受理|一企一码|一照通用|多网互联|1|2|3|4||专业技能 P79 第一章、一：合作目标（一）对已纳入“三证合一、一照一码”登记范围的纳税人，按照“一照一码”登记制度办理税务登记，国税、地税与工商、质监部门实现“一表申请、一窗受理、一企一码、一网互联、一照通用”。其中E选项错在一网互联而不是多网互联|专业技能 P79 第一章、一：合作目标（一）对已纳入“三证合一、一照一码”登记范围的纳税人，按照“一照一码”登记制度办理税务登记，国税、地税与工商、质监部门实现“一表申请、一窗受理、一企一码、一网互联、一照通用”。其中E选项错在一网互联而不是多网互联
